singers,genres,total_play,title
Ưng Đại Vệ,"Việt Nam,Nhạc Trẻ",468450,Lonely Xmas (New Version)
Đan Thùy,"Việt Nam,Nhạc Trẻ",11517,Day Dứt
"Zara Larsson,MNEK","Âu Mỹ,Electronic / Dance",3003,Never Forget You
Bùi Nguyễn Trung Quân,"Việt Nam,Nhạc Trẻ",37723,Xmas Cô Đơn
"Skrillex,Diplo","Âu Mỹ,Electronic / Dance",242342,Where Are U Now
"Wiz Khalifa,Charlie Puth","Âu Mỹ,Rap / Hip Hop",5513087,See You Again
Ed Sheeran,"Âu Mỹ,Pop",671871,Thinking Out Loud
"Fun.,Janelle Monáe","Âu Mỹ,Pop",5438587,We Are Young
Coldplay,"Âu Mỹ,Alternative",879,Adventure Of A Lifetime
One Direction,"Âu Mỹ,Pop",1757220,Live While We're Young
"Major Lazer,MØ","Âu Mỹ,Electronic / Dance",358363,Lean On
"Mark Ronson,Bruno Mars","Âu Mỹ,Pop",1040049,Uptown Funk
"Calvin Harris,Disciples","Âu Mỹ,Electronic / Dance",67153,How Deep Is Your Love
Trương Quỳnh Anh,"Việt Nam,Nhạc Trẻ",165770,Có Hẹn Cùng Hạnh Phúc
Adele,"Âu Mỹ,Pop",982212,Hello
"Meghan Trainor,John Legend","Âu Mỹ,Pop",235879,Like I'm Gonna Lose You
"A Great Big World,Christina Aguilera","Âu Mỹ,Pop",934935,Say Something
Meghan Trainor,"Âu Mỹ,Pop",805897,All About That Bass
"Flo Rida,Sage The Gemini","Âu Mỹ,Pop",22993,G.D.F.R.
"Jessie J,Ariana Grande","Âu Mỹ,Pop",634291,Bang Bang
Tove Lo,"Âu Mỹ,Pop",187527,Habits (Stay High)
@iHeartMemphis,"Âu Mỹ,Rap / Hip Hop",5184,Hit The Quan
"Nicky Jam,Enrique Iglesias","Âu Mỹ,Pop",9992,El Perdón
Avicii,"Âu Mỹ,Electronic / Dance",280129,Waiting For Love
George Ezra,"Âu Mỹ,Rock",5472,Budapest
O.T. Genasis,"Âu Mỹ,Rap / Hip Hop",12679,CoCo
Mr. Probz,"Âu Mỹ,Rap / Hip Hop",4651,Waves
"Rocko,Future","Âu Mỹ,Rap / Hip Hop",2674,U.O.E.N.O.
"James Newton Howard,Jennifer Lawrence","Âu Mỹ,Nhạc Phim",17526,The Hanging Tree
Randy Houser,"Âu Mỹ,Country",1789,Runnin' Outta Moonlight
2 Chainz,"Âu Mỹ,Rap / Hip Hop",19877,I'm Different
Ne-Yo,"Âu Mỹ,Pop,R&B / Soul",699058,Let Me Love You (Until You Learn To Love Yourself)
"The Script,will.i.am","Âu Mỹ,Pop",2225625,Hall Of Fame
Ariana Grande,"Âu Mỹ,Pop",241851,One Last Time
Rihanna,"Âu Mỹ,R&B / Soul",1469962,Diamonds
"Jason Derulo,Meghan Trainor","Âu Mỹ,R&B / Soul",12166,Painkiller
Avril Lavigne,"Âu Mỹ,Pop,Rock",240549,Give You What You Like
Ellie Goulding,"Âu Mỹ,Pop",815699,Burn
"Drake,Future","Âu Mỹ,Rap / Hip Hop",5398,Jumpman
SEVENTEEN,"Hàn Quốc,Electronic / Dance",7782,Mansae
Kang Nam (M.I.B),"Hàn Quốc,Electronic / Dance",839,CHOCOLATE
"Jun Jin,Eric","Hàn Quốc,Electronic / Dance",1372,Wow Wow Wow
Lyn,"Hàn Quốc,R&B",165,Look At Me Now
G.Soul,"Hàn Quốc,R&B",288,Crazy For You
"Gary,Jay Park","Hàn Quốc,Rap / Hip Hop",5496,JOA
Lyn,"Hàn Quốc,R&B",298,Love Moves On
"JYP,Lee Jin Ah","Hàn Quốc,Pop / Ballad",281,Road To The Airport (Sing The Road #01)
Lim Chang Jung,"Hàn Quốc,Pop / Ballad",35902,Love Again
Jonghyun (SHINee),"Hàn Quốc,Pop / Ballad",838,End Of A Day
IU,"Hàn Quốc,Electronic / Dance",2286,Knee
Junho,"Nhật Bản,Pop / Dance",272,Fire
UP10TION,"Hàn Quốc,Electronic / Dance",1194,"SO, DANGEROUS"
