singers,genres,total_play,title
Quốc Thiên,Nhạc Trẻ,118692,Nhớ Đến Anh
Tóc Tiên,Pop,96843,Santa Baby
Tóc Tiên,Thiếu Nhi,70365,Mùa hè đến
Bích Phương,Nhạc Trẻ,3710212,Sâu Trong Em
Lê Cát Trọng Lý,Nhạc Trẻ,100579,Chưa Ai
Lê Cát Trọng Lý,Không Lời,5832,Introduce Mùa Xuân
Lê Cát Trọng Lý,Không Lời,16362,Introduce Mùa Xuân
Yiruma,Không Lời,130671,When the love falls
Yiruma,Không Lời,98027,Kiss The Rain - Rainy Mood
Yiruma,Không Lời,101198,Love me
Yiruma,Không Lời,71530,Wait There
Yiruma,Dance,510384,River Flows In You (Empyre One Bootleg Mix Edit)
Yiruma,Không Lời,3321525,River flows in you
Yiruma,Không Lời,2328036,Kiss The Rain
Yiruma,Không Lời,200342,Spring Time
Yiruma,Không Lời,50722,I
Yiruma,Nhạc Trẻ,48088,Promise (Piano Solo)
Mai Khôi,Nhạc Trẻ,68576,Hoa Dại (Nhạc Phim)
Mai Khôi,Nhạc Trẻ,145396,Donna
Mai Khôi,Nhạc Trẻ,29684,Hoa dại (Ost Một ngày không có em)
Mai Khôi,Trữ Tình,66710,Em về tóc xanh
Mai Khôi,Nhạc Trẻ,21891,Vừa Biết Dấu Yêu
Mai Khôi,Nhạc Trẻ,29821,Tàn Phai
Mai Khôi,Nhạc Trẻ,33108,Tình Ca Phố
Mai Khôi,Trữ Tình,54209,Dạ khúc
Mai Khôi,Nhạc Trẻ,318240,Việt Nam
Mai Khôi,Nhạc Trẻ,127226,Hoa Dại
Hà Okio,Không Lời,21220,Sài Gòn Cafe Sữa Đá (Beat & Instrumental)
Hà Okio,Nhạc Trẻ,36349,Áo Ấm Vùng Cao
Hà Okio,Nhạc Trẻ,46987,Biển Xanh Và Nắng Vàng
Hà Okio,Nhạc Trẻ,54154,Nhiều Hơn Nhiều Hơn Thế
Hà Okio,Nhạc Trẻ,58552,Đừng Bao Giờ Hết Hy Vọng
Hà Okio,Nhạc Trẻ,39968,Nếu Như
Hà Okio,Nhạc Trẻ,118791,Sài Gòn Cafe Sữa Đá
Hà Okio,Nhạc Trẻ,48295,Everybody Has A Choice
Hà Okio,Nhạc Trẻ,90990,Nếu Như (Long Ruồi OST)
Hà Okio,Nhạc Trẻ,349244,Nơi Ấy
Lê Cát Trọng Lý,Trữ Tình,65632,Sen
Lê Cát Trọng Lý,Trữ Tình,35893,Hương Lạc
