singers,genres,total_play,title
Sơn Tùng M-TP,"Việt Nam,Nhạc Trẻ",42433219,Ấn Nút Nhớ…Thả Giấc Mơ
"Hồ Việt Trung,Hồ Quang Hiếu","Việt Nam,Nhạc Trẻ",26859654,Em Là Của Anh
"Akon,Matoma","Âu Mỹ,Rap / Hip Hop",530,Stick Around
Bích Phương,"Việt Nam,Nhạc Trẻ",6633281,Rằng Em Mãi Ở Bên
Trung Quân Idol,"Việt Nam,Nhạc Trẻ",78905040,Chưa Bao Giờ
Justin Bieber,"Âu Mỹ,Pop",1182,Company
Girls' Generation-TTS,"Hàn Quốc,Pop / Ballad",8804,Dear Santa
EXO,"Hàn Quốc,Pop / Ballad",35850,Sing For You
"Skrillex,Diplo","Âu Mỹ,Electronic / Dance",243230,Where Are U Now
Tiên Tiên,"Việt Nam,Nhạc Trẻ",22646261,Vì Tôi Còn Sống
Trung Quân Idol,"Việt Nam,Nhạc Trẻ,Nhạc Dance",64104,Trái Đất Tròn Không Gì Là Không Thể (MastaL...
B1A4,"Hàn Quốc,Pop / Ballad",277,It's Christmas Time
Justin Bieber,"Âu Mỹ,Pop",1188,Trust
Baekhyun (EXO),"Hàn Quốc,Nhạc Phim",175511,Beautiful
"JustaTee,BigDaddy","Việt Nam,Nhạc Trẻ,Rap Việt",22535259,2AM
Thu Minh,"Việt Nam,Nhạc Trẻ",136473,Just Love
BTS (Bangtan Boys),"Hàn Quốc,Electronic / Dance",26458,Run
BTS (Bangtan Boys),"Hàn Quốc,Rap / Hip Hop",241026,I Need You
EXO,"Hàn Quốc,Electronic / Dance",1040283,Growl
China Dolls,"Hoa Ngữ,Trung Quốc",37,Party Queen
China Dolls,"Hoa Ngữ,Trung Quốc",51,I Played My
LMFAO,"Electronic / Dance,Âu Mỹ,Rap / Hip Hop",99493,Sexy And I Know It
Nhiều nghệ sĩ,"Âu Mỹ,Rap / Hip Hop",519732,Mercy
Train,"Âu Mỹ,Pop",43135,50 Ways To Say Goodbye
"JustaTee,Mr A","Việt Nam,Rap Việt",6401391,Hoa Sữa
iKON,"Hàn Quốc,Rap / Hip Hop,Electronic / Dance",44904,Rhythm Ta
"JustaTee,Binz","Việt Nam,Nhạc Trẻ,Rap Việt",2024932,Bâng Khuâng (Rap Version)
iKON,"Hàn Quốc,Pop / Ballad",23738,Apology
BTS (Bangtan Boys),"Hàn Quốc,Electronic / Dance",7112,Butterfly
EXO,"Hàn Quốc,Pop / Ballad",328886,Wolf
Thu Minh,"Việt Nam,Nhạc Trẻ",480743,Love
Hương Tràm,"Việt Nam,Nhạc Trẻ",5612772,Với Em Là Mãi Mãi
Red Velvet,"Hàn Quốc,Pop / Ballad",168895,Ice Cream Cake
AOA,"Hàn Quốc,Electronic / Dance",149328,Heart Attack
BTS (Bangtan Boys),"Hàn Quốc,Electronic / Dance",178535,Danger
Hồ Ngọc Hà,"Việt Nam,Nhạc Trẻ",2031663,Cô Đơn Giữa Cuộc Tình
Hoàng Thùy Linh,"Nhạc Trẻ,Việt Nam",4241294,Rung Động
Sĩ Thanh,"Việt Nam,Nhạc Trẻ",956037,Don't Want You
Hồ Ngọc Hà,"Việt Nam,Nhạc Trẻ",15329736,Xóa Ký Ức
Miss A,"Hàn Quốc,Electronic / Dance",410561,Only You
Exid,"Hàn Quốc,Electronic / Dance",229343,Ah Yeah!
Hoàng Thùy Linh,"Việt Nam,Nhạc Trẻ",1503204,Rơi
Apink,"Hàn Quốc,Pop / Ballad",434259,LUV
Joker's Rule,"Việt Nam,Rap Việt",8409565,Talk To You
Exid,"Hàn Quốc,Electronic / Dance",327734,UP & DOWN
BTS (Bangtan Boys),"Hàn Quốc,Rap / Hip Hop",186578,Dope
"LK,P.A","Việt Nam,Nhạc Trẻ,Rap Việt",7599143,Im Lặng
"LK,JustaTee","Việt Nam,Rap Việt",7819201,Không Tin Một Sớm Mai Bình Yên
BigDaddy,"Việt Nam,Nhạc Trẻ,Rap Việt",15937444,Nói Với Em
"JustaTee,Emily","Việt Nam,Rap Việt",5053946,Imma Heart Breaker
JustaTee,"Việt Nam,Rap Việt",14993228,She Neva Knows
EXO,"Hàn Quốc,Pop / Ballad",313003,"Baby, Don’t Cry"
EXO-K,"Hàn Quốc,Electronic / Dance",350155,Overdose
JustaTee,"Việt Nam,Rap Việt",8593224,K ( Part 2 )
"JustaTee,Kimmese","Việt Nam,Nhạc Trẻ",9458110,Lời Nói Dối Chân Thật
EXO,"Hàn Quốc,Pop / Ballad",149906,3.6.5
EXO,"Hàn Quốc,Electronic / Dance",171505,Lucky
EXO,"Hàn Quốc,Electronic / Dance",511034,Call Me Baby
Chen (Exo),"Hàn Quốc,Pop / Ballad,Nhạc Phim",332099,Best Luck
Eli Young Band,"Âu Mỹ,Country",74029,Even If It Breaks Your Heart
EXO,"Hàn Quốc,Electronic / Dance",321534,XOXO
Miguel,"Âu Mỹ,R&B / Soul",4225,Adorn
Kip Moore,"Âu Mỹ,Country",20492,Somethin' 'Bout A Truck
Ca$h Out,"Âu Mỹ,Rap / Hip Hop",43163,Cashin' Out
Luke Bryan,,120289,I Don't Want This Night To End
Lee Brice,"Âu Mỹ,Country",31789,Hard To Love
Rihanna,"Âu Mỹ,Pop",3152546,Diamonds
Rihanna,"Âu Mỹ,Pop,Electronic / Dance",1475397,You Da One
Christina Perri,"Âu Mỹ,Pop",1972960,A Thousand Years
"Havana Brown,Pitbull","Âu Mỹ,Pop",440866,We Run The Night
Jason Aldean,"Âu Mỹ,Country",671,Take A Little Ride
"T-Pain,Lily Allen","Âu Mỹ,Pop,Rap / Hip Hop",48348,5 O' Clock
Toby Keith,"Âu Mỹ,Country",43700,Red Solo Cup
B.o.B,"Âu Mỹ,Rap / Hip Hop",167672,So Good
Trey Songz,"Âu Mỹ,Christian & Gospel",42925,Heart Attack
"Rihanna,Chris Brown","Âu Mỹ,Pop,R&B / Soul",139445,Birthday Cake (Remix)
Chris Brown,"Âu Mỹ,Pop,R&B / Soul",1228078,Turn Up The Music
Kirko Bangz,"Âu Mỹ,Rap / Hip Hop",39508,Drank In My Cup
Ne-Yo,"Âu Mỹ,Pop,R&B / Soul",699061,Let Me Love You (Until You Learn To Love Yourself)
Kenny Chesney,"Âu Mỹ,Country",4842,Come Over
Selena Gomez & The Scene,"Âu Mỹ,Pop",6201694,Love You Like A Love Song
Coldplay,"Âu Mỹ,Pop,Rock",10139,Paradise
Carrie Underwood,"Âu Mỹ,Country",82842,Blown Away
Nicki Minaj,"Âu Mỹ,Rap / Hip Hop",734551,Pound The Alarm
Wiz Khalifa,"Âu Mỹ,Rap / Hip Hop",223703,"Work Hard, Play Hard"
Adele,,2699064,Rolling In The Deep
Ke$ha,"Âu Mỹ,Pop",2551989,Die Young
Usher,"Âu Mỹ,R&B / Soul",39658,Climax
Justin Bieber,"Âu Mỹ,Pop",906,Get Used To Me
"Justin Bieber,Nas","Âu Mỹ,Pop",675,We Are
"Justin Bieber,Ariana Grande","Âu Mỹ,Pop",18415,What Do You Mean? (Remix)
The Lumineers,"Âu Mỹ,Folk",804091,Ho Hey
Carrie Underwood,"Âu Mỹ,Country",552960,Good Girl
Little Big Town,"Âu Mỹ,Country",47656,Pontoon
"Calvin Harris,Ne-Yo","Âu Mỹ,R&B / Soul",41666,Let's Go
Pitbull,"Âu Mỹ,Pop,Electronic / Dance",916346,Back In Time
Big Sean,,231212,Dance (A$$)
Karmin,"Âu Mỹ,Pop",271745,Brokenhearted
"Gym Class Heroes,Adam Levine","Âu Mỹ,Pop",4959686,Stereo Hearts
Gavin DeGraw,"Âu Mỹ,Pop",6597,Not Over You
J. Cole,"Rap / Hip Hop,Âu Mỹ",106641,Work Out
Eric Church,"Country,Âu Mỹ",82872,Springsteen
Chris Brown,"Âu Mỹ,R&B / Soul",968802,Don't Wake Me Up
Adele,"Pop,Âu Mỹ",686297,Rumour Has It
Cher Lloyd,"Pop,Âu Mỹ,Rap / Hip Hop",147574,Want U Back
Phan Mạnh Quỳnh,"Việt Nam,Nhạc Trẻ",1530960,Vợ Người Ta (Beat)
Phan Mạnh Quỳnh,"Việt Nam,Nhạc Trẻ",2329950,Nước Ngoài
Phan Mạnh Quỳnh,"Việt Nam,Nhạc Trẻ",409190,Làm Sao Giữ (Beat)
Hunter Hayes,"Âu Mỹ,Pop",237386,Wanted
"Gym Class Heroes,Neon Hitch","Rap / Hip Hop,Âu Mỹ",826841,Ass Back Home
Luke Bryan,,188922,Drunk On You
2 Chainz,"Âu Mỹ,Rap / Hip Hop",1914,No Lie
"David Guetta,Usher","Âu Mỹ,Trance / House / Techno",6936,Without You
PSY,"Hàn Quốc,Rap / Hip Hop",12011711,Gangnam Style
"Pitbull,Chris Brown","Rap / Hip Hop,Âu Mỹ",96643,International Love
Tyga,"Âu Mỹ,Rap / Hip Hop",217063,Rack City
Jessie J,"Âu Mỹ,Pop",20908,Domino
Usher,"Âu Mỹ,R&B / Soul",113214,Scream
Phillip Phillips,"Âu Mỹ,Pop",868152,Home
Adele,"Pop,Âu Mỹ",6173516,Someone Like You
Phan Mạnh Quỳnh,"Việt Nam,Nhạc Trẻ",8479853,Làm Sao Giữ
Calvin Harris,"Âu Mỹ,Electronic / Dance",454466,Feel So Close
Katy Perry,"Âu Mỹ,Pop",38010,The One That Got Away
Phan Mạnh Quỳnh,"Việt Nam,Nhạc Trẻ",1117621,Tình Yêu Giữa Mùa Đông
"Kanye West,Jay-Z","Âu Mỹ,Rap / Hip Hop",532730,Niggas In Paris
"Maroon 5,Christina Aguilera","Pop,Âu Mỹ",177512,Moves Like Jagger
Pink,"Âu Mỹ,Pop",3104,Blow Me (One Last Kiss)
Demi Lovato,"Âu Mỹ,Pop",1769347,Give Your Heart A Break
"Owl City,Carly Rae Jepsen","Âu Mỹ,Pop",481925,Good Time
"David Guetta,Nicki Minaj","Electronic / Dance,Âu Mỹ",2818929,Turn Me On
Alex Clare,"Âu Mỹ,Electronic / Dance",773248,Too Close
LMFAO,,195448,Party Rock Anthem
Bruno Mars,"Âu Mỹ,Pop",4688321,It Will Rain
"Justin Bieber,Big Sean","Âu Mỹ,Pop",5378194,As Long As You Love Me
Justin Bieber,"Âu Mỹ,Pop",4662192,Boyfriend
Katy Perry,"Pop,Âu Mỹ",3044233,Part Of Me
"Snoop Dogg,Wiz Khalifa","Âu Mỹ,Pop,Rap / Hip Hop",49480,"Young, Wild & Free"
"Drake,Lil Wayne","Âu Mỹ,Rap / Hip Hop",178365,The Motto
Jason Mraz,"Âu Mỹ,Pop",2258502,I Won't Give Up
"David Guetta,Sia","Pop,Âu Mỹ,Electronic / Dance",840564,Titanium
Rihanna,"Âu Mỹ,R&B / Soul",583456,Where Have You Been
Maroon 5,"Âu Mỹ,Pop",1557254,One More Night
"Drake,Rihanna","Rap / Hip Hop,Âu Mỹ",442025,Take Care
Flo Rida,"Âu Mỹ,Rap / Hip Hop",623289,Whistle
Adele,"Âu Mỹ,Pop",2377798,Set Fire To The Rain
Train,"Âu Mỹ,Pop,Rock",143083,Drive By
"Flo Rida,Sia","Âu Mỹ,Rap / Hip Hop",22078,Wild Ones
Fun.,"Âu Mỹ,Indie",2114539,Some Nights
Flo Rida,"Rap / Hip Hop,Âu Mỹ",89709,Good Feeling
Katy Perry,"Pop,Âu Mỹ",660626,Wide Awake
One Direction,"Âu Mỹ,Pop",1274598,What Makes You Beautiful
Kelly Clarkson,"Âu Mỹ,Pop",195959,Stronger (What Doesn't Kill You)
Nicki Minaj,"Âu Mỹ,Pop",2922431,Starships
"Rihanna,Calvin Harris","Electronic / Dance,Âu Mỹ,R&B / Soul",70916,We Found Love
"Maroon 5,Wiz Khalifa","Âu Mỹ,Pop",8299691,Payphone
"Gotye,Kimbra","Âu Mỹ,Indie",533234,Somebody That I Used To Know
Ellie Goulding,"Pop,Âu Mỹ",2494205,Lights
