singers,genres,total_play,title
Hoàng Tôn,Nhạc Trẻ,986190,Bài Hát Tặng Em
Bằng Cường,Nhạc Trẻ,316829,Yêu Thêm Lần Nữa
Bằng Cường,Nhạc Trẻ,252820,Yêu Xa
Bằng Cường,Nhạc Trẻ,207444,Sao Em Giấu Anh
Bằng Cường,Nhạc Trẻ,420449,Đâu Phải Anh Chưa Khóc
C-Walk,Nhạc Trẻ,1067842,Có Khi Nào Rời Xa
Bằng Cường,Nhạc Trẻ,546546,Sợ Rằng Em Nhớ Ai
Bằng Cường,Nhạc Trẻ,483611,Người Trở Lại
Bằng Cường,Nhạc Trẻ,224329,Để Tang Quá Khứ
Bằng Cường,Nhạc Trẻ,2249210,Ngày Hạnh Phúc
Bằng Cường,Nhạc Trẻ,2356724,Tình Yêu Và Nỗi Nhớ
Bằng Cường,Nhạc Trẻ,1258898,Yêu Cô Bạn Thân
Tuấn Hưng,Không Lời,44186,Sẽ Không Còn Nữa (Beat & Instrumental)
Tuấn Hưng,Nhạc Trẻ,597713,Sẽ Không Còn Nữa
Tuấn Hưng,Nhạc Trẻ,322769,In The Club
Tuấn Hưng,Nhạc Trẻ,54406,You're My Everything
Minh Vương M4U,Nhạc Trẻ,9175321,Nỗi Đau Xót Xa
"Tuấn Hưng,Lệ Quyên",Nhạc Trẻ,344236,Ta Đã Từng Yêu (Live)
BIGBANG,Hàn Quốc,1175573,Haru Haru
"Quang Mẫn,Tuấn Hưng",Không Lời,6099,Anh Sẽ Vui ... Nếu (Beat & Instrumental)
Quang Mẫn,Không Lời,6508,Vẫn Yêu Dù Biết Sẽ Đau (Beat & Instrumental)
Quang Mẫn,Không Lời,9379,Tìm Lại Hạnh Phúc (Beat & Instrumental)
"Quang Mẫn,Tuấn Hưng",Nhạc Trẻ,45624,Anh Sẽ Vui ... Nếu
Quang Mẫn,Nhạc Trẻ,18150,Vẫn Yêu Dù Biết Sẽ Đau
Quang Mẫn,Nhạc Trẻ,66023,Tìm Lại Hạnh Phúc
Lyna Thùy Linh,Nhạc Trẻ,148513,Giữ Giùm Em Trái Tim
"Ưng Đại Vệ,LiL Knight",Nhạc Trẻ,2461037,Vẫn Mãi Trong Tim
Lyna Thùy Linh,Không Lời,2412,Giữ Giùm Em Trái Tim Beat
Lyna Thùy Linh,Không Lời,3420,Điều Tốt Nhất Là Chia Tay Beat
Lyna Thùy Linh,Nhạc Trẻ,7586,Em Khóc Vì Anh
Lyna Thùy Linh,Nhạc Trẻ,9775,Chỉ Một Người Hiểu
Lyna Thùy Linh,Không Lời,3877,Em Thật May Mắn Beat
"Lyna Thùy Linh,Gia Ly",Nhạc Trẻ,18835,Điều Tốt Nhất Là Chia Tay
Lyna Thùy Linh,Không Lời,2493,Em Khóc Vì Anh Beat
Lyna Thùy Linh,Không Lời,2706,Chỉ Một Người Hiểu Beat
Lyna Thùy Linh,Nhạc Trẻ,150112,Anh Ác Lắm
Lyna Thùy Linh,Nhạc Trẻ,12690,Em Thật May Mắn
Lyna Thùy Linh,Trữ Tình,602518,Mẹ Hiền Của Con
Lyna Thùy Linh,Nhạc Trẻ,638180,Trời Cho Em Mọi Thứ
Lyna Thùy Linh,Nhạc Trẻ,332669,Làm Người Yêu Em Nhé
Trương Tâm Nhi,Nhạc Trẻ,513,Lời Yêu Thương
"Vĩnh Thuyên Kim,Hồ Quang Hiếu",Nhạc Trẻ,2304181,Biết Trước Sẽ Không Mất Nhau
Khởi My,Nhạc Trẻ,1586465,I Don't Want
Khánh Phương,Nhạc Trẻ,1477902,Lời Nói Của Thế Gian
Ngô Kiến Huy,Nhạc Trẻ,5312978,Là Người Em Đã Yêu
Khánh Tân,Nhạc Trẻ,34832,Nhớ Người Anh Yêu
Yuki Huy Nam,Nhạc Trẻ,107040,Cần Một Lời Giải Thích
Trung Quân Idol,Nhạc Trẻ,8385071,Dấu Mưa
Đình Phong,Nhạc Trẻ,2398111,Chỉ Còn Anh Và Mưa
Yuki Huy Nam,Nhạc Trẻ,13700700,Nhìn Em Lần Cuối
Nam Du,Nhạc Trẻ,362130,Lời Hứa Chỉ Là Lời Hứa
Sơn Tùng (M-TP),Nhạc Trẻ,40722784,Em Của Ngày Hôm Qua
Hồ Quang Hiếu,Nhạc Trẻ,5176097,Không Cảm Xúc
Quang Hà,Nhạc Trẻ,1706744,Ngỡ
"Đoàn Thúy Trang,BigDaddy",Nhạc Trẻ,6047501,Tình Yêu Màu Nắng
Bích Phương,Nhạc Trẻ,2950254,Nếu Hạnh Phúc Không Phải Em
Bích Phương,Nhạc Trẻ,2250945,Nếu Anh Là Em
Bích Phương,Nhạc Trẻ,1391682,Em Không Tin
The Men,Nhạc Trẻ,975026,Chính Là Anh
Lệ Quyên,Nhạc Trẻ,1438569,Thôi Đừng Chiêm Bao
Bích Phương,Nhạc Trẻ,4399814,Chỉ Là Em Giấu Đi
Hồ Việt Trung,Nhạc Trẻ,3205189,Anh Nguyện Chết Vì Em
Khắc Việt,Nhạc Trẻ,7055753,Anh Yêu Người Khác Rồi
Yuki Huy Nam,Nhạc Trẻ,8810068,Nhìn Lại Anh Em Nhé
Bảo Anh,Nhạc Trẻ,9851928,Anh Muốn Em Sống Sao
Mr.Siro,Nhạc Trẻ,10148921,Bức Tranh Từ Nước Mắt
