singers,genres,total_play,title
Boney M,"Âu Mỹ,Pop,Electronic / Dance",54092,Mary's Boy Child / Oh My Lord
Fifth Harmony,"Âu Mỹ,Pop,Nhạc Phim",17626,I'm In Love With A Monster
Justin Bieber,"Âu Mỹ,Pop",326680,Sorry
Ellie Goulding,"Âu Mỹ,Pop",84197,On My Mind
Justin Bieber,"Âu Mỹ,Pop",1099,Company
"Akon,Matoma","Âu Mỹ,Rap / Hip Hop",494,Stick Around
"Michael Bublé,Shania Twain","Âu Mỹ,Blues / Jazz",9697,White Christmas
Andy Williams,"Âu Mỹ,Pop",144,It's The Most Wonderful Time Of The Year
She & Him,"Folk,Âu Mỹ",426,The Christmas Waltz
Bình Minh Vũ,"Việt Nam,Nhạc Trẻ",56250,I Miss Our Memories
Crazy Frog,"Electronic / Dance,Âu Mỹ",461116,Jingle Bells
Boney M,"Âu Mỹ,Pop,Electronic / Dance",58242,The First Noel
"Who Is Fancy,Meghan Trainor","Âu Mỹ,Pop",2838,Boys Like You
Bình Minh Vũ,"Việt Nam,Nhạc Trẻ",660184,Phải Giữ Em Thế Nào
Conrad Sewell,"Âu Mỹ,Pop",3320,Hold Me Up
"Big Sean,Drake","Âu Mỹ,Rap / Hip Hop",1449,Blessings
"Wale,Usher","Âu Mỹ,Rap / Hip Hop",606,The Matrimony
J. Cole,"Âu Mỹ,Rap / Hip Hop",79,Wet Dreamz
"Kid Ink,DeJ Loaf","Âu Mỹ,Rap / Hip Hop",1554,Be Real
Bé Bảo An,"Việt Nam,Nhạc Thiếu Nhi",63370,Lễ Phép
"LK,Lil' Kani","Việt Nam,Rap Việt",64092,Love In My Life
The Score,"Âu Mỹ,Pop",603,Oh My Love
Bé Bảo An,"Việt Nam,Nhạc Thiếu Nhi",551605,Ông Già Noel Ơi
"LK,Nguyễn Hồng Hải","Rap Việt,Việt Nam",3524143,Ánh Sáng Nơi Cuối Con Đường
Gabrielle Goodman,"Âu Mỹ,Blues / Jazz",0,For The First Time In My Life
Gabrielle Goodman,"Âu Mỹ,Blues / Jazz",0,In Love In Vain
Gabrielle Goodman,"Âu Mỹ,Blues / Jazz",0,Sorry To Say Goodbye
Gabrielle Goodman,"Âu Mỹ,Blues / Jazz",0,September In New York
Gabrielle Goodman,"Âu Mỹ,Blues / Jazz",0,Amazing Grace
Gabrielle Goodman,"Âu Mỹ,Blues / Jazz",0,On A Clear Day (You Can See Forever)
Gabrielle Goodman,"Âu Mỹ,Blues / Jazz",0,Calling You
Gabrielle Goodman,"Âu Mỹ,Blues / Jazz",0,Lush Life
Gabrielle Goodman,"Âu Mỹ,Blues / Jazz",0,"One For My Baby, One For The Road"
John Scofield,"Âu Mỹ,Blues / Jazz",0,Slinky
John Scofield,"Âu Mỹ,Blues / Jazz",0,Hangover
John Scofield,"Âu Mỹ,Blues / Jazz",0,Season Creep
John Scofield,"Âu Mỹ,Blues / Jazz",0,Get Proud
Ibrahim Maalouf,"Âu Mỹ,Blues / Jazz",0,Introduction
John Scofield,"Âu Mỹ,Blues / Jazz",0,Chap Dance
Ibrahim Maalouf,"Âu Mỹ,Blues / Jazz",0,Overture II
Ibrahim Maalouf,"Âu Mỹ,Blues / Jazz",0,Movement I
Ibrahim Maalouf,"Âu Mỹ,Blues / Jazz",0,Movement II
John Scofield,"Âu Mỹ,Blues / Jazz",0,Enjoy The Future
John Scofield,"Âu Mỹ,Blues / Jazz",0,Museum
John Scofield,"Âu Mỹ,Blues / Jazz",0,Past Present
Ibrahim Maalouf,"Âu Mỹ,Blues / Jazz",0,Overture I
Ibrahim Maalouf,"Âu Mỹ,Blues / Jazz",0,Movement IV
Ibrahim Maalouf,"Âu Mỹ,Blues / Jazz",0,Movement III
Ibrahim Maalouf,"Âu Mỹ,Blues / Jazz",0,Free Spirit
John Scofield,"Âu Mỹ,Blues / Jazz",0,Mr. Puffy
Ibrahim Maalouf,"Âu Mỹ,Blues / Jazz",0,Essentielles
Ibrahim Maalouf,"Âu Mỹ,Blues / Jazz",0,Éléphant’s Tooth
Ibrahim Maalouf,"Âu Mỹ,Blues / Jazz",0,Goodnight Kiss
Ibrahim Maalouf,"Âu Mỹ,Blues / Jazz",0,Improbable
Ibrahim Maalouf,"Âu Mỹ,Blues / Jazz",0,Red & Black Light
Ibrahim Maalouf,"Âu Mỹ,Blues / Jazz",0,Run The World (Girls)
John Coltrane,"Âu Mỹ,Blues / Jazz",0,Naima
John Coltrane,"Âu Mỹ,Blues / Jazz",0,Crescent
John Coltrane,"Âu Mỹ,Blues / Jazz",0,Leo
John Coltrane,"Âu Mỹ,Blues / Jazz",0,Offering
Ibrahim Maalouf,"Âu Mỹ,Blues / Jazz",0,Escape
John Coltrane,"Âu Mỹ,Blues / Jazz",1,My Favorite Things
Erykah Badu,"Âu Mỹ,Blues / Jazz",0,Caint Use My Phone (Suite)
Erykah Badu,"Âu Mỹ,Blues / Jazz",0,U Use To Call Me
Erykah Badu,"Âu Mỹ,Blues / Jazz",0,I’ll Call U Back
Erykah Badu,"Âu Mỹ,Blues / Jazz",0,Dial’Afreaq
Erykah Badu,"Âu Mỹ,Blues / Jazz",2,Medley: What’s Yo Phone Number / Telephone...
Erykah Badu,"Âu Mỹ,Blues / Jazz",0,U Don’t Have To Call
Erykah Badu,"Âu Mỹ,Blues / Jazz",0,Phone Down
Erykah Badu,"Âu Mỹ,Blues / Jazz",0,Cel U Lar Device
Erykah Badu,"Âu Mỹ,Blues / Jazz",2,Mr. Telephone Man
Erykah Badu,"Âu Mỹ,Blues / Jazz",0,Hi
Erykah Badu,"Âu Mỹ,Blues / Jazz",1,Hello
"Robin Schulz,Francesco Yates","Âu Mỹ,Electronic / Dance",12437,Sugar
Hailee Steinfeld,"Âu Mỹ,Pop",22943,Love Myself
The Vamps,"Âu Mỹ,Pop",6363,Wake Up
"Justin Bieber,Ariana Grande","Âu Mỹ,Pop",17152,What Do You Mean? (Remix)
Sam Smith,"Âu Mỹ,Pop",9734,Drowning Shadows
Coldplay,"Âu Mỹ,Rock",1488,Everglow
"LK,JustaTee","Việt Nam,Rap Việt",11291328,Người Lạ Nơi Cuối Con Đường
"LK,Ưng Đại Vệ","Việt Nam,Rap Việt",536398,Ngôi Sao Cô Đơn
"Ưng Đại Vệ,LK","Việt Nam,Nhạc Trẻ",5287094,Anh Nhớ Em Nhiều
Selena Gomez,"Âu Mỹ,Pop",3198,Kill Em With Kindness
"Demi Lovato,Iggy Azalea","Âu Mỹ,Pop",2440,Kingdom Come
"LK,JayTee","Việt Nam,Rap Việt",235046,Thiên Đường Cho Mày
"LK,JustaTee","Việt Nam,Rap Việt",7811572,Không Tin Một Sớm Mai Bình Yên
"Phương Anh,LK","Việt Nam,Rap Việt",108342,What Is The Luv
"LK,Ngô Thanh Vân","Việt Nam,Rap Việt",142608,Bó Tay
"LK,Phương Anh","Việt Nam,Rap Việt",186430,Đen
"LK,Phương Anh","Việt Nam,Rap Việt",400932,Lệ Vui
Crazy Frog,"Electronic / Dance,Âu Mỹ",187476,Axel F
"LK,Phương Anh","Việt Nam,Rap Việt",137865,Ta Luôn Nghĩ Về Nhau
"LK,Eddy Việt","Việt Nam,Rap Việt",3796116,Riêng Mình Anh Cô Đơn
Crazy Frog,"Electronic / Dance,Âu Mỹ",222671,I Like To Move It
LK,"Việt Nam,Rap Việt",147476,Yêu Em
LK,"Việt Nam,Rap Việt",104719,Bánh Bổ
LK,"Việt Nam,Rap Việt",134452,Điểm Dừng Chân Cuối Cùng
"Kim,LK","Rap Việt,Việt Nam",727197,Anh Sai
"LK,LinhKent","Rap Việt,Việt Nam",43680,Love Friend
"Đăng Khôi,LK","Việt Nam,Nhạc Trẻ",508267,Chiếc Lá Tình Yêu
Crazy Frog,,489608,Last Christmas
Crazy Frog,"Electronic / Dance,Âu Mỹ",32337,"Maya Hi, Maya Hu"
LK,"Việt Nam,Rap Việt",104138,Em Sẽ Làm Được Gì Hơn
LK,"Việt Nam,Rap Việt",112354,Đoạn Kết
Crazy Frog,"Electronic / Dance,Âu Mỹ",82631,Daddy DJ
LK,"Việt Nam,Rap Việt",283751,Giả Vờ Hết (Part 2)
LK,"Việt Nam,Rap Việt",258156,Hẹn Em Vào Một Ngày Khác
LK,"Việt Nam,Nhạc Trẻ",119038,Hưng
Touliver,"Hòa Tấu,Piano",7559,Hopeless
Touliver,"Việt Nam,Nhạc Dance",43386,Love Is Not Easy
Touliver,"Hòa Tấu,Piano",4532,Block Block (Original)
"LK,Touliver","Việt Nam,Rap Việt",290966,Hanoi Hustle
Touliver,"Việt Nam,Nhạc Trẻ",14565,MEV
"Touliver,Binz","Việt Nam,Rap Việt",181802,Bad Boys
Touliver,"Việt Nam,Nhạc Không Lời,Hòa Tấu,Piano",45262,Key Is Mine (Original Mix)
"Vado,Jeremih","Âu Mỹ,Rap / Hip Hop",161,Bae
Chinx,"Âu Mỹ,Rap / Hip Hop",43,2am
"YG,Kendrick Lamar","Âu Mỹ,Rap / Hip Hop",8,Smokin' N Drinkin'
"Jeezy,YG","Âu Mỹ,Rap / Hip Hop",1,Vato
Meek Mill,"Âu Mỹ,Rap / Hip Hop",0,Worth More
LK,"Việt Nam,Rap Việt",312353,I Need You 2 Night
LK,"Việt Nam,Rap Việt",139513,The Mirror
LK,"Việt Nam,Rap Việt",5583836,Nơi Thuộc Về Nỗi Nhớ
50 Cent,"Âu Mỹ,Rap / Hip Hop",4,Hold On
LK,"Việt Nam,Rap Việt",319902,AI Ai Ai Đã Khiến Em Như Vậy
T.I,"Âu Mỹ,Rap / Hip Hop",1,Freestyle
Wale,"Âu Mỹ,Rap / Hip Hop",0,King Slayer
LK,"Việt Nam,Rap Việt",170256,Thôi Đành Chia Tay
LK,"Việt Nam,Rap Việt",47479,Úm Ba La
LK,"Việt Nam,Rap Việt",160682,Phương Lip
LK,"Việt Nam,Rap Việt",23032,Roll Wit It
LK,"Việt Nam,Rap Việt",1280463,Sắc Màu Tình Yêu
LK,"Việt Nam,Rap Việt",58571,Phân Ly
LK,"Việt Nam,Rap Việt",60729,Ngôi Sao Đã Mất
Bé Bảo An,"Việt Nam,Nhạc Thiếu Nhi",1140526,Cháu Yêu Bà
LK,"Việt Nam,Rap Việt",20913,Now And 4eva - Cover Song
Bé Bảo An,"Việt Nam,Nhạc Thiếu Nhi",917966,Bé Khỏe Bé Ngoan
LK,"Việt Nam,Rap Việt",2205440,Một Cái Tên
Bé Bảo An,"Việt Nam,Nhạc Thiếu Nhi",110827,Chú Cún Con
Touliver,"Việt Nam,Nhạc Dance",18881,NGUXAHOOD
Bé Bảo An,"Việt Nam,Nhạc Thiếu Nhi",50108,Ếch Con Làm Toán
Bé Bảo An,"Việt Nam,Nhạc Thiếu Nhi",456333,Cho Con
Bé Bảo An,"Việt Nam,Nhạc Thiếu Nhi",71684,Không Chịu Tắm
Touliver,"Việt Nam,Nhạc Dance",41841,L.I.N.E.
Nhiều nghệ sĩ,"Việt Nam,Nhạc Trẻ,Nhạc Dance",559542,Call Your Name
"Tóc Tiên,Touliver","Việt Nam,Nhạc Trẻ",81341,Angel Faded
"Tóc Tiên,Touliver","Việt Nam,Nhạc Trẻ",51585,Hoa Cỏ Mùa Xuân
Nhiều nghệ sĩ,"Việt Nam,Nhạc Trẻ,Rap Việt,Nhạc Dance",234001,Quiks
Touliver,"Việt Nam,Nhạc Dance",167688,Faded
"Andree,Touliver","Việt Nam,Rap Việt,Nhạc Dance",84142,Hater ( Original Mix )
Touliver,"Việt Nam,Nhạc Dance",11886,Swanad
"Touliver,JustaTee","Việt Nam,Nhạc Trẻ",389878,Juss (Good Morning Vietnam)
"Touliver,Rhymastic","Việt Nam,Rap Việt",185581,SS SWAG
Future,"Âu Mỹ,Rap / Hip Hop",2,Covered N Money
Bé Bảo An,"Việt Nam,Nhạc Thiếu Nhi",2089036,Cả Nhà Thương Nhau
Superstar Jay,"Âu Mỹ,Rap / Hip Hop",1,Intro
Lil Wayne,"Âu Mỹ,Rap / Hip Hop",3,Freestyle
LK,"Việt Nam,Rap Việt",128950,Hòa Bình Trọn Vẹn
LK,"Việt Nam,Nhạc Trẻ",9009416,Lip
LK,"Việt Nam,Rap Việt",833193,Anh Sẽ Viết
LK,"Việt Nam,Rap Việt",68208,Trời Ơi
LK,"Việt Nam,Rap Việt",58484,Đêm Không Em
LK,"Việt Nam,Rap Việt",52057,Hết Yêu Remix
LK,"Việt Nam,Rap Việt",38195,Chat Với Mozart
LK,"Việt Nam,Rap Việt",99160,Da Cam
LK,"Việt Nam,Rap Việt",1799632,Cho Tôi Một Cơ Hội
LK,"Việt Nam,Rap Việt",40156,Hey Lil Ma Know Me
"LK,Touliver","Việt Nam,Nhạc Trẻ,Rap Việt,Nhạc Dance",692185,Far Away
Touliver,"Việt Nam,Nhạc Trẻ,Nhạc Không Lời",443551,Do You Remember
Lương Bằng Quang,"Việt Nam,Nhạc Trẻ",49224,Đừng Làm Nỗi Đau Thêm Dài (Touliver Remix)
