singers,genres,total_play,title
Đình Phong,Nhạc Trẻ,215341,Lời Hứa Không Tồn Tại
Anh Thơ,Tiền Chiến,667545,Giọt Mưa Thu
Bích Thảo,Trữ Tình,254719,Chờ Anh Hát Lý Duyên Tình
Miu Lê,Nhạc Trẻ,916590,Quên Như Chưa Từng Yêu
Thùy Chi,Nhạc Trẻ,5133714,Giữ Em Đi
The Chris McDonald Orchestra,Âu Mỹ khác,94,Silent Night! Holy Night!
Nhật Tinh Anh,Trữ Tình,125618,Xót Xa
Anh Thơ,Cách Mạng,211555,Em Yêu Anh Như Yêu Câu Ví Dặm
"Miu Lê,OnlyC",Nhạc Trẻ,22388,Last Valentine
"Trịnh Thăng Bình,Miu Lê",Nhạc Trẻ,43567,Làn Mưa Ấm 
Miu Lê,Âu Mỹ khác,221972,Price Tag
"Miu Lê,Trịnh Thăng Bình",Nhạc Trẻ,20151,Làn Mưa Ấm
"Miu Lê,Lương Bích Hữu,Hoàng Rapper,Hằng BingBoong,Ái Phương,Ưng Đại Vệ",Nhạc Trẻ,46865,Mẹ Hỡi
Miu Lê,Nhạc Trẻ,97284,Cơn Mưa Nhỏ Và Nắng
Miu Lê,Nhạc Trẻ,207117,Ta Là Cho Nhau
Miu Lê,Nhạc Trẻ,5239796,Giả Vờ Nhưng Em Yêu Anh
Ngô Trác Linh,Nhạc Trẻ,17658,Quên Như Chưa Từng Yêu
V.A,Trữ Tình,280,Xuân Về (Pre 75)
V.A,Trữ Tình,341,Khúc Hát Người Trồng Rừng
V.A,Trữ Tình,450,Xuân Đã Về (Pre 75)
V.A,Trữ Tình,176,Về Nam Ban Yêu Thương
"Thùy Chi,Duy Khoa",Trữ Tình,20784,Nguyện Bên Nhau
Thùy Chi,Nhạc Trẻ,829377,Nơi Hạnh Phúc Mỉm Cười (Khi Đàn Ông Góa Vợ Bật Khóc OST)
"Phan Đinh Tùng,Thùy Chi",Nhạc Trẻ,348414,Thần Thoại
Thùy Chi,Trữ Tình,62225,Cha Yêu
"Trúc Lam,Trúc Linh",Nhạc Trẻ,142085,Đường vào tình yêu
V.A,Trữ Tình,2139,Nhớ Về Chợ Lách Quê Em
"Quốc Đại,Cẩm Ly",Trữ Tình,449560,Tình Ấm Chiều Quê
V.A,Trữ Tình,6171,Tây Ninh Quê Tôi
V.A,Trữ Tình,4160,Phụng Hoàng - Hàn Mặc Tử
V.A,Trữ Tình,2217,Dòng Sông Xanh
"Hương Lan,Thái Châu",Trữ Tình,113328,Trăng Rụng Xuống Cầu
"Phi Nhung,Mạnh Quỳnh",Trữ Tình,80852,Nhớ Nhau Hoài
"Thanh Phong,Thanh Tuyền",Trữ Tình,235335,Anh Buồn Em Thương
"Mạnh Đình,Như Quỳnh",Trữ Tình,226939,Nhật ký mùa đông
"Tuấn Vũ,Hương Lan",Trữ Tình,360817,Nói Với Người Tình
