singers,genres,total_play,title
"Fun.,Janelle Monáe","Âu Mỹ,Pop",5438873,We Are Young
One Direction,"Âu Mỹ,Pop",1757335,Live While We're Young
B1A4,"Hàn Quốc,Pop / Ballad",307,It's Christmas Time
Fifth Harmony,"Âu Mỹ,Pop,Nhạc Phim",18414,I'm In Love With A Monster
Girls' Generation-TTS,"Hàn Quốc,Pop / Ballad",9279,Dear Santa
EXO,"Hàn Quốc,Pop / Ballad",38937,Sing For You
Justin Bieber,"Âu Mỹ,Pop",352982,Sorry
Ellie Goulding,"Âu Mỹ,Pop",86577,On My Mind
"Zara Larsson,MNEK","Âu Mỹ,Electronic / Dance",3077,Never Forget You
Coldplay,"Âu Mỹ,Alternative",1016,Adventure Of A Lifetime
Trung Quân Idol,"Việt Nam,Nhạc Trẻ",79146129,Chưa Bao Giờ
"Hồ Việt Trung,Hồ Quang Hiếu","Việt Nam,Nhạc Trẻ",26875227,Em Là Của Anh
Red Velvet,"Hàn Quốc,Electronic / Dance",93535,Dumb Dumb
"Nukan Trần Tùng Anh,Quốc Thiên","Việt Nam,Nhạc Trẻ",619957,Liên Khúc Giáng Sinh
Girls' Generation-TTS,"Hàn Quốc,Pop / Ballad",9659,Dear Santa (English Version)
Cascada,,840188,Last Christmas
SNSD,"Hàn Quốc,Electronic / Dance",114701,You Think
"Rudimental,Ed Sheeran","Âu Mỹ,Electronic / Dance",2464,Lay It All On Me
LK,"Việt Nam,Rap Việt",23055,Roll Wit It
Elle King,"Âu Mỹ,Alternative",10570,Ex's & Oh's
LK,"Việt Nam,Rap Việt",112393,Đoạn Kết
"LK,JustaTee","Việt Nam,Rap Việt",7821679,Không Tin Một Sớm Mai Bình Yên
LK,"Việt Nam,Rap Việt",160833,Phương Lip
"LK,JayTee","Việt Nam,Rap Việt",235070,Thiên Đường Cho Mày
LK,"Việt Nam,Rap Việt",134469,Điểm Dừng Chân Cuối Cùng
LK,"Việt Nam,Rap Việt",58602,Phân Ly
X Ambassadors,"Âu Mỹ,Rock,Alternative",5376,Renegades
Nhiều nghệ sĩ,"Âu Mỹ,Rap / Hip Hop",23997,Downtown
Miley Cyrus,"Âu Mỹ,Pop,Nhạc Phim",5571,Hands Of Love
Selena Gomez,"Âu Mỹ,Pop",7046,Hands To Myself
The Weeknd,"Âu Mỹ,R&B / Soul",3517,Angel
"Drake,Future","Âu Mỹ,Rap / Hip Hop",5574,Jumpman
Ellie Goulding,"Âu Mỹ,Pop",5072,Something In The Way You Move
