singers,genres,total_play,title
Coldplay,"Âu Mỹ,Alternative",714,Adventure Of A Lifetime
Mr. Siro,"Việt Nam,Nhạc Trẻ",4768869,Sống Trong Nỗi Nhớ
Trung Quân Idol,"Việt Nam,Nhạc Trẻ",3130558,Trái Đất Tròn Không Gì Là Không Thể
"Zara Larsson,MNEK","Âu Mỹ,Electronic / Dance",2804,Never Forget You
One Direction,"Âu Mỹ,Pop",1756936,Live While We're Young
Lương Gia Huy,"Việt Nam,Nhạc Trẻ",5418,Yêu Ảo
"Fun.,Janelle Monáe","Âu Mỹ,Pop",5437827,We Are Young
Mr. Siro,"Việt Nam,Nhạc Trẻ",11500447,Người Con Gái Anh Không Thể Quên
Cao Thái Sơn,"Nhạc Trẻ,Việt Nam",8389206,Bình Yên Nhé
Hoài Lâm,"Việt Nam,Nhạc Trẻ",43207215,Như Những Phút Ban Đầu
Trịnh Thăng Bình,"Việt Nam,Nhạc Trẻ",63198412,Người Ấy
Vương Anh Tú,"Việt Nam,Nhạc Trẻ",574486,Buộc Phải Quên Em
One Direction,"Âu Mỹ,Pop",954,Wolves
One Direction,"Âu Mỹ,Pop",5812,A.M.
Vương Anh Tú,"Việt Nam,Nhạc Trẻ",1213445,Đừng Để Anh Thấy Ánh Mắt Em
Ông Cao Thắng,"Việt Nam,Nhạc Trẻ",7458380,Cố Giữ Lý Trí
"Cẩm Vân Phạm,Giang Đẫm","Việt Nam,Nhạc Trẻ",75734,Xin Mưa Đừng Rơi
Việt My,"Việt Nam,Nhạc Trẻ",411566,Nhìn Anh Từ Phía Sau
Juun Đăng Dũng,"Việt Nam,Nhạc Trẻ",1002028,Anyway
Sunny Days,"Hàn Quốc,Pop / Ballad,Nhạc Phim",78,Biga (비가)
Huyền Anh (Bà Tưng),"Việt Nam,Nhạc Trẻ",1591238,Giá Như
Vương Anh Tú,"Việt Nam,Nhạc Trẻ",2565061,Sinh Ra Là Để Yêu Em
MJ,"Hàn Quốc,Rap / Hip Hop",9,Farewell Umbrella
Lyn,"Hàn Quốc,Pop / Ballad",185309,Rain On Me
Kang Seung Yoon,"Hàn Quốc,Pop / Ballad",8192,It Rains
Elsie (Eunjung),"Hàn Quốc,Pop / Ballad",615,Tears Rain
"Kim Tae Bum,Sojin","Hàn Quốc,Pop / Ballad",1764,On Rainy Days
Acoustic Collabo,"Hàn Quốc,Pop / Ballad",179,In The Rain
"Philtre,Younha","Hàn Quốc,Pop / Ballad",173,Fade
Hong Dae Kwang,"Hàn Quốc,Pop / Ballad",55,Raining
Nell,"Hàn Quốc,Rock",1781,Standing In The Rain
Gavy N.J,"Hàn Quốc,Pop / Ballad",982,I Wish
Lee Jong Hyun,"Hàn Quốc,Pop / Ballad,Nhạc Phim",767290,My Love
Stella Jang,"Hàn Quốc,Pop / Ballad",293,It’s Raining
Kang Chae Yi,"Hàn Quốc,Pop / Ballad",109,Wet Handkerchief
Lena Park,"Hàn Quốc,R&B",361,Rain
Dia,"Hàn Quốc,Pop / Ballad",666,It Is A Rainy Day (Yungseuteuring Ver.)
"ZIA,Lee Hyun","Hàn Quốc,Pop / Ballad",140,It's Raining
Lee Seung Chul,"Hàn Quốc,Pop / Ballad",15605,Western Sky
M to M,"Hàn Quốc,Pop / Ballad",144,Incomplete Man
Dia,"Hàn Quốc,Pop / Ballad",13089,Paradise
"Baek Ji Young,Na Yoon Kwon","Hàn Quốc,Pop / Ballad",2540,Whenever It Rains
Bernard Park,"Hàn Quốc,Pop / Ballad",1243,Before The Rain
4MINUTE,"Hàn Quốc,Pop / Ballad",41454,Cold Rain
Group S,"Hàn Quốc,Pop / Ballad",265,One Last Memory
Gummy,"Hàn Quốc,Pop / Ballad",946,The Only Thing I Can't Do
Monday Kiz,"Hàn Quốc,Pop / Ballad",804,Invisible Tears
Luna (fx),"Hàn Quốc,Pop / Ballad",333,Don't Cry For Me
N.Flying,"Hàn Quốc,Rap / Hip Hop",1583,Awesome
Byul,"Hàn Quốc,Pop / Ballad",529,No More Us
Kyu Hyun,"Hàn Quốc,Pop / Ballad",5035,At Close
Park Soo-Jin,"Hàn Quốc,Pop / Ballad",1178,Fallin'
Group S,"Hàn Quốc,Pop / Ballad",1732,Without You
K.will,"Hàn Quốc,Pop / Ballad",9512,Growing
Song Ji Eun,"Hàn Quốc,Pop / Ballad,Nhạc Phim",2850,The Person I Miss
History,"Hàn Quốc,Electronic / Dance",469,Might Just Die
Heart B,"Hàn Quốc,Pop / Ballad",242,Remember
Hyorin,"Hàn Quốc,Pop / Ballad",1316,Closer
HIGH4,"Hàn Quốc,Electronic / Dance",371,Baby Boy
SEVENTEEN,"Hàn Quốc,Electronic / Dance",11855,Adore U
WAX,"Hàn Quốc,Pop / Ballad",591,Woman Feeds On Love
Eun Ji-won,"Hàn Quốc,Rap / Hip Hop",59,Trauma
Baekhyun (EXO),"Hàn Quốc,Nhạc Phim",173314,Beautiful
Lee Seung Chul,"Hàn Quốc,Pop / Ballad",214,Time Goes Fast Like An Arrow
MBLAQ,"Hàn Quốc,Electronic / Dance",3899,Mirror
SPEED,"Hàn Quốc,Pop / Ballad",1885,What U
"Eric Nam,Park Ji Min","Hàn Quốc,Pop / Ballad",516,Dream
Hyorin,"Hàn Quốc,Pop / Ballad,Nhạc Phim",4502,Come A Little Closer
J-Walk,"Hàn Quốc,Pop / Ballad",2811,One Love
Bumkey,"Hàn Quốc,R&B",12386,My Everything
Boys Republic,"Hàn Quốc,Pop / Ballad",712,Hello
"SLEEPY,Song Ji Eun","Hàn Quốc,Rap / Hip Hop",2727,Cool Night
J,"Hàn Quốc,Pop / Ballad",533,Just Ten Days
HaLo,"Hàn Quốc,Pop / Ballad",161,While You're Sleeping
Seo In Young,"Hàn Quốc,Electronic / Dance",229,Lies
TEEN TOP,"Hàn Quốc,Electronic / Dance",18102,Ah - Ah
"Zico,Sojin","Hàn Quốc,Pop / Ballad,Nhạc Phim",1728,Sick
Kim Tae Woo,"Hàn Quốc,Electronic / Dance",227,Lonely Funk
Melody Day,"Hàn Quốc,Electronic / Dance",517,#LoveMe
Lyn,"Hàn Quốc,Pop / Ballad,Nhạc Phim",2245,Even If One Day
Lee Seung Gi,"Hàn Quốc,Pop / Ballad",10615,And Goodbye
BTOB,"Hàn Quốc,Pop / Ballad",22148,It's Okay
"Yook Sung Jae,Namjoo (A Pink)","Hàn Quốc,Pop / Ballad",4418,Photograph
Hong Dae Kwang,"Hàn Quốc,Pop / Ballad",222,With You
G.Soul,"Hàn Quốc,R&B",649,Love Me Again
"Tiger JK,Yoonmirae","Hàn Quốc,Rap / Hip Hop",1749,Forever
BIGBANG,"Hàn Quốc,Electronic / Dance",354524,Sober
AOA,"Hàn Quốc,Electronic / Dance",146893,Heart Attack
Ailee,"Hàn Quốc,Pop / Ballad",1249,Johnny
Mamamoo,"Hàn Quốc,Electronic / Dance",27255,Um Oh Ah Yeh
Aliee,"Hàn Quốc,Electronic / Dance",263,Johnny
Baek Ah Yeon,"Hàn Quốc,Pop / Ballad",108638,Shouldn’t Have
EXO,"Hàn Quốc,Rap / Hip Hop,Electronic / Dance",257259,Love Me Right
Nine Muses,"Hàn Quốc,Electronic / Dance",6889,Hurt Locker
BIGBANG,"Hàn Quốc,Pop / Ballad",533544,If You
SISTAR,"Hàn Quốc,Rap / Hip Hop,Electronic / Dance",156643,Shake It
Tim,"Việt Nam,Nhạc Trẻ",1004087,Cô Đơn Từ Lúc Ấy
Trịnh Đình Quang,"Việt Nam,Nhạc Trẻ",42774458,Thất Tình
Bình Minh Vũ,"Việt Nam,Nhạc Trẻ",553128,Yêu Người Không Thể Yêu
Hòa Minzy,"Việt Nam,Nhạc Trẻ",6131241,Mưa Nhớ
