singers,genres,total_play,title
"Vĩnh Thuyên Kim,Hồ Quang Hiếu",Nhạc Trẻ,2305124,Biết Trước Sẽ Không Mất Nhau
Vương Anh Tú,Nhạc Trẻ,5442288,Giúp Anh Trả Lời Những Câu Hỏi
Khởi My,Nhạc Trẻ,1588989,I Don't Want
Ngô Kiến Huy,Nhạc Trẻ,5314954,Là Người Em Đã Yêu
Yuki Huy Nam,Nhạc Trẻ,107637,Cần Một Lời Giải Thích
Khánh Tân,Nhạc Trẻ,34999,Nhớ Người Anh Yêu
Yuki Huy Nam,Nhạc Trẻ,13702061,Nhìn Em Lần Cuối
Trung Quân Idol,Nhạc Trẻ,8395379,Dấu Mưa
Nam Du,Nhạc Trẻ,362452,Lời Hứa Chỉ Là Lời Hứa
Hồ Quang Hiếu,Nhạc Trẻ,5176386,Không Cảm Xúc
Quang Hà,Nhạc Trẻ,1707460,Ngỡ
The Men,Nhạc Trẻ,976257,Chính Là Anh
Bích Phương,Nhạc Trẻ,1393355,Em Không Tin
Bích Phương,Nhạc Trẻ,2254121,Nếu Anh Là Em
Bích Phương,Nhạc Trẻ,4405154,Chỉ Là Em Giấu Đi
Bích Phương,Nhạc Trẻ,2956282,Nếu Hạnh Phúc Không Phải Em
Lâm Chấn Khang,Nhạc Trẻ,2169896,Nonstop Lan Và Điệp
Khắc Việt,Nhạc Trẻ,7062544,Anh Yêu Người Khác Rồi
Mr.Siro,Nhạc Trẻ,10159935,Bức Tranh Từ Nước Mắt
Chi Dân,Nhạc Trẻ,7651935,Không Quan Tâm
Phan Mạnh Quỳnh,Nhạc Trẻ,7375902,Anh Ghét Làm Bạn Em
"Hồ Quang Hiếu,Minh Vương M4U",Nhạc Trẻ,6355560,Ký Ức Còn Đâu 
Hồ Việt Trung,Nhạc Trẻ,3208591,Anh Nguyện Chết Vì Em
365,Nhạc Trẻ,2769379,Nơi Anh Không Thuộc Về
Yuki Huy Nam,Nhạc Trẻ,8811440,Nhìn Lại Anh Em Nhé
"Đan Trường,Lương Bích Hữu",Nhạc Trẻ,3298794,Có Kiếp Sau Không
"Cao Thái Sơn,Hương Tràm",Nhạc Trẻ,8178148,Sẽ Có Người Cần Anh
Châu Khải Phong,Nhạc Trẻ,801909,Em Là Món Quà Vô Giá
The Men,Nhạc Trẻ,3069711,Anh Sợ Mất Em
Lê Bảo Bình,Không Lời,29572,Vợ Là Nhất (Beat & Instrumental)
"Phan Mạnh Quỳnh,Lê Bảo Bình",Không Lời,149992,Không Quan Trọng (Beat & Instrumental)
Lê Bảo Bình,Nhạc Trẻ,40898,Yêu Luôn Nhé Em
Tùng Sơn,Nhạc Trẻ,4040547,Chắc Ai Đó Sẽ Về (Chàng Trai Năm Ấy OST)
"Hoàng Tôn,Kay Trần",Nhạc Trẻ,4858180,Chỉ Có Em
Lê Bảo Bình,Nhạc Trẻ,120288,Xem Nhau Là Dĩ Vãng
HKT,Nhạc Trẻ,4335735,Bên Anh Em Sẽ Không Có Tương Lai
Lê Bảo Bình,Trữ Tình,134471,Cuộc Sống Xa Nhà
Anh Quân Idol,Nhạc Trẻ,10872695,Có Anh Ở Đây Rồi 
Hồ Quang Hiếu,Nhạc Trẻ,8263636,Nơi Ấy Con Tìm Về
Khắc Việt,Nhạc Trẻ,552669,Đừng Cố Yêu
Yuki Huy Nam,Nhạc Trẻ,6548157,Ngày Ngày Gọi Tên Em
V.A,Nhạc Trẻ,9961,Bạn Ơi (Version 2)
"Y Thanh,V.A",Nhạc Trẻ,286232,Hãy Cười
V.A,Nhạc Trẻ,11594,Hoa Hồng Của Quỷ (OST)
Lê Bảo Bình,Nhạc Trẻ,121511,Lời Hứa Giả Dối
Lê Bảo Bình,Nhạc Trẻ,575193,Không Cảm Nhận
Lê Bảo Bình,Nhạc Trẻ,286551,Vợ Là Nhất
Lê Bảo Bình,Nhạc Trẻ,151058,Kiếp Lẩu Khói
Trần Hà My (Mờ Naive),Nhạc Trẻ,823554,Ngày Hôm Qua Đã Từng
V.A,Nhạc Trẻ,656,Một Thế Giới
"OnlyC,Avatar Boys",Nhạc Trẻ,1640289,Đắng Lòng Thanh Niên
V.A,Nhạc Trẻ,334009,Bầu Trời Âm Nhạc
Lương Bích Hữu,Nhạc Trẻ,8169732,Anh Muốn Chia Tay Phải Không
Cao Thái Sơn,Nhạc Trẻ,1835972,Yêu Em Là Định Mệnh
Lê Bảo Bình,Nhạc Trẻ,599330,Xin Lỗi Anh Chỉ Có 100K
Hồ Quang Hiếu,Nhạc Trẻ,2279996,Tìm Em
"Shayla,Philip Huy",Nhạc Trẻ,268824,Thiên Duyên Tiền Định
"Lưu Bích,Nguyễn Hưng",Nhạc Trẻ,362326,Trả Nợ Tình Xa
"Trịnh Lam,Minh Tuyết",Nhạc Trẻ,282651,	Dư Âm Tình Ta
"Duy Uyên,Phạm Thái Thành",Trữ Tình,253199,Cà Phê Miệt Vườn
V.A,Trữ Tình,648,LK Mẹ Tôi
V.A,Trữ Tình,266,Quê Cha
V.A,Trữ Tình,551,Nhớ Lắm Hải Phòng Ơi
V.A,Trữ Tình,141,Mơ Quê
V.A,Trữ Tình,450,Con Đường Mơ Ước 
V.A,Trữ Tình,448,LK Lý Tình Xuân
V.A,Trữ Tình,625,Hát Về Mẹ
V.A,Trữ Tình,194,Yêu Quê Mình
V.A,Trữ Tình,887,Tình Ca Điện Biên
"Minh Trang,V.A",Trữ Tình,1431,Tuổi Trẻ Trung Hưng Tiếp Bước
Trịnh Thăng Bình,Nhạc Trẻ,932163,Từ Khi Gặp Em
Phan Mạnh Quỳnh,Nhạc Trẻ,732491,Làm Sao Giữ
V.A,Trữ Tình,2142,Nhớ Về Chợ Lách Quê Em
"Lâm Vũ,Tuấn Hưng",Nhạc Trẻ,113394,Điều Anh Không Ngờ
An Coong,Không Lời,36107,Dưới Những Cơn Mưa (Piano Cover)
An Coong,Không Lời,178691,Chờ Người Nơi Ấy (Piano Cover)
An Coong,Không Lời,201973,Em Không Quay Về (Piano Cover)
An Coong,Không Lời,211710,Thời Gian Sẽ Trả Lời (Piano Version)
An Coong,Không Lời,294828,Nắng Ấm Xa Dần (Piano Cover)
An Coong,Không Lời,108419,Mình Yêu Nhau Đi (Piano Cover)
An Coong,Không Lời,394418,Em Muốn (Piano Cover)
An Coong,Không Lời,229160,Dấu Mưa (Piano Cover)
An Coong,Không Lời,200250,Em Của Ngày Hôm Qua (Piano Cover)
An Coong,Không Lời,18827,Âm Thầm Bên Em (Piano Cover)
V.A,Nhạc Trẻ,32,Ký Ức Mùa Thu
V.A,Nhạc Trẻ,253,LK Ngày Xuân Long Phụng Sum Vầy
V.A,Nhạc Trẻ,18,Girls
Lâm Vũ,Nhạc Trẻ,106271,Em Là Vầng Trăng Của Anh
"Phạm Hồng Phước,Suni Hạ Linh",Nhạc Trẻ,1359052,Cám Ơn Người Đã Rời Xa Tôi
"Phạm Hồng Phước,Suni Hạ Linh",Nhạc Trẻ,11942,Cám Ơn Người Đã Rời Xa Tôi (Radio Version)
Juun Đăng Dũng,Không Lời,164,Anyway Beat
"Juun Đăng Dũng,Suni Hạ Linh",Nhạc Trẻ,3643,Chẳng Thể Là Ai Khác
"Văn Mai Hương,Mr. A",Nhạc Trẻ,1661144,Là Em Đó
Juun Đăng Dũng,Nhạc Trẻ,49289,Anyway
An Coong,Không Lời,14118,Mùa Yêu Cũ (Piano Cover)
An Coong,Nhạc Hoa,12789,Happy Birthday To Me
An Coong,Không Lời,59913,Chưa Bao Giờ (Piano Cover)
Văn Mai Hương,Nhạc Trẻ,421418,Đành Tiễn Em
Văn Mai Hương,Nhạc Trẻ,74338,Ngày Chung Đôi
Trịnh Thăng Bình,Không Lời,232079,Người Ấy (Piano)
Trịnh Thăng Bình,Không Lời,17319,Sau Bao Năm (Beat & Instrumental)
Phan Mạnh Quỳnh,Nhạc Trẻ,521212,Tình Yêu Giữa Mùa Đông
Trịnh Thăng Bình,Nhạc Trẻ,145789,Thiếu Một Người
Trịnh Thăng Bình,Nhạc Trẻ,49524,Xin Hãy Quên Anh
"Trịnh Thăng Bình,Rap Soul",Nhạc Trẻ,236444,Sài Gòn Đêm Nay
Phương Chi Bảo,Trữ Tình,1177,Máu Chảy Ruột Mềm
Phương Chi Bảo,Không Lời,125,Nguội Lạnh Beat
Phương Chi Bảo,Nhạc Trẻ,577,Nguội Lạnh
Dương Đình Trí,Nhạc Trẻ,9471,Từ Khi Gặp Em
Huyền Anh (Bà Tưng),Nhạc Trẻ,9070,Giá Như
Huỳnh Thật,Trữ Tình,75974,Xin Em Đừng Khóc Vu Quy
"Cẩm Ly,Quốc Đại",Nhạc Trẻ,226625,Chỉ Tại Duyên Số
V.A,Trữ Tình,340,Tình Ca Từ Giàn Khoan
V.A,Trữ Tình,85,PVEP Khát Vọng Vươn Xa
Miu Lê,Nhạc Trẻ,447884,Mình Yêu Nhau Từ Bao Giờ
Trung Quân Idol,Nhạc Trẻ,722463,Có Thật Không Tôi
Ái Phương,Nhạc Trẻ,846494,Tôi Thấy Hoa Vàng Trên Cỏ Xanh
Trung Quân Idol,Nhạc Trẻ,1052937,Trái Đất Tròn Không Gì Là Không Thể
"Miu Lê,OnlyC,Karik,DJ",Thể Loại Khác,27687,Giáng Sinh Avatar (Remix)
Ái Phương,Nhạc Trẻ,82562,Em Muốn
Ái Phương,Nhạc Trẻ,71291,Sớm Xuân
Ái Phương,Nhạc Trẻ,5674,Câu Chuyện Của Gió
Ái Phương,Nhạc Trẻ,505848, Con Đường Mưa
Ái Phương,Nhạc Trẻ,32729,Xuân Hạ Thu Đông
Ái Phương,Nhạc Trẻ,553458,Cô Dâu
Ái Phương,Nhạc Trẻ,110677,Như Chưa Từng Yêu
Ái Phương,Nhạc Trẻ,45050,Hạnh Phúc Nhạt Nhòa
Ái Phương,Nhạc Trẻ,110238,Có Bao Giờ Anh Biết
Ái Phương,Nhạc Trẻ,62768,Ta Đã Từng Yêu
Ái Phương,Nhạc Trẻ,27535,Cuốn Trôi Giấc Mơ
Ái Phương,Nhạc Trẻ,97688,Hai Thế Giới
"Trung Quân Idol,BigDaddy",Nhạc Trẻ,299828,Dấu Mưa (Remix)
Trung Quân Idol,Nhạc Trẻ,54946,Mưa Nhớ (Acoustic Version)
Ái Phương,Nhạc Trẻ,23062,Những Con Đường Tôi Đã Đi Qua (Nỗi Buồn Có Mắt OST)
"Khổng Tú Quỳnh,Ngô Kiến Huy,Miu Lê,Huỳnh Anh",Nhạc Trẻ,42676,Thiên Sứ 99
"Lê Việt Anh,Ái Phương",Nhạc Trẻ,584,Trong Giấc Mơ Đêm Qua
Ái Phương,Nhạc Trẻ,184751,Cô Đơn
Trung Quân Idol,Nhạc Trẻ,240886,Ta Về Đâu (Con Ma Nhà Họ Vương OST)
Miu Lê,Nhạc Trẻ,97566,Cơn Mưa Nhỏ Và Nắng
Trương Tâm Nhi,Nhạc Trẻ,386,Học Trò
Trương Tâm Nhi,Nhạc Trẻ,378,Cây Đàn Sinh Viên
Trương Tâm Nhi,Nhạc Trẻ,365,Niềm Tin Chiến Thắng
Trương Tâm Nhi,Nhạc Trẻ,67,Ảo Tưởng Sức Mạnh (Acapella Version)
"Trương Tâm Nhi,Bevin",Nhạc Trẻ,63,Ảo Tưởng Sức Mạnh (R&B Version)
Nguyễn Hoàng Phong,Nhạc Trẻ,41,Vũ Hòa Ngày Trở Về
Trương Tâm Nhi,Nhạc Trẻ,77,Phố Hoa
Trương Tâm Nhi,Nhạc Trẻ,145,Tuyết Yêu Thương
Nguyễn Hoàng Phong,Nhạc Trẻ,68,Mong Được Bên Em
Nguyễn Hoàng Phong,Nhạc Trẻ,36,Hoa Anh Đào (Acoustic Version)
Nguyễn Hoàng Phong,Nhạc Trẻ,27,Khao Khát
Nguyễn Hoàng Phong,Nhạc Trẻ,32,Trái Tim Việt Nam
Nguyễn Hoàng Phong,Nhạc Trẻ,37,Lính Pháo Binh
Trương Tâm Nhi,Nhạc Trẻ,142,My Dream
Trương Tâm Nhi,Nhạc Trẻ,93,Bảy Ngày Đợi Mong
Nguyễn Hoàng Phong,Nhạc Trẻ,68,Hoa Anh Đào
Nguyễn Hoàng Phong,Nhạc Trẻ,43,Hoa Tình Yêu
Nguyễn Hoàng Phong,Nhạc Trẻ,106,Hãy Tin Anh Em Nhé
Trịnh Thăng Bình,Nhạc Trẻ,1227252,Em Cần Thời Gian
Hồ Quang Hiếu,Nhạc Trẻ,1226876,Chỉ Là Anh Đang Mơ
V.A,Trữ Tình,2222,Dòng Sông Xanh
Bảo Uyên,Nhạc Trẻ,1180442,Để Lại Cho Em
Đan Trường,Trữ Tình,1691907,Lục Tỉnh Miền Tây
"Bảo Uyên,DJ VitaminD",Thể Loại Khác,391,Soái Ca (Super Hero) Remix
Cẩm Ly,Trữ Tình,308494,Cô Tư Bánh Tét 
Phi Nhung,Trữ Tình,249312,Thương Em Lý Miệt Vườn
"Bảo Uyên,DJ VitaminD",Nhạc Trẻ,663,Soái Ca Remix
"Trung Quân Idol,Quân Rapsoul",Nhạc Trẻ,465,Tìm Em (Acoustic Demo)
"Hoàng Tôn,Bảo Kun",Nhạc Trẻ,60311,Em Đẹp Em Có Quyền
Khắc Việt,Nhạc Trẻ,202330,Không Yêu Cũng Đừng Làm Bạn (Demo)
Thái Tuyết Trâm,Nhạc Trẻ,986,Mashup Chưa Bao Giờ Rời Xa (Acoustic Cover)
Võ Hạ Trâm,Nhạc Trẻ,3147,Yêu Nhau Dẫu Mong Manh
Hồ Quang Hiếu,Nhạc Trẻ,594623,Con Bướm Xuân (Acoustic Version)
Hồ Quang Hiếu,Không Lời,124928,Chúc Mừng Năm Mới Beat
Hồ Quang Hiếu,Nhạc Trẻ,660126,Xuân Yêu Thương
Hồ Quang Hiếu,Nhạc Trẻ,604420,Anh Biết
Hồ Việt Trung,Nhạc Trẻ,174961,Yêu Từ Xa
Hồ Quang Hiếu,Nhạc Trẻ,473823,Xin Đừng Hái Hoa
Hồ Quang Hiếu,Nhạc Trẻ,338633,Quay Cuồng
Đan Trường,Nhạc Trẻ,771237,Anh Ba Khía
Chánh Mạnh,Nhạc Trẻ,1133,Chỉ Là Anh Đang Mơ
Phương Mỹ Chi,Trữ Tình,1989289,Sa Mưa Giông
Hà Vân,Trữ Tình,53202,Quê Cũ
Phi Nhung,Trữ Tình,122417,Ngựa Ô Thương Nhớ
Phi Nhung,Trữ Tình,211720,Bài Ca Đất Phương Nam
Hà Vân,Trữ Tình,81724,"LK Dạ Cổ Hoài Lang, Đêm Gành Hào Nghe Điệu Hoài Lang"
Đan Trường,Trữ Tình,284860,Tùy Hứng Lý Qua Cầu
Đan Trường,Trữ Tình,457263,Người Miền Tây
Ngọc Sơn,Trữ Tình,294024,Cây Cầu Dừa
Đan Trường,Trữ Tình,680320,Nội Tôi
Uyên Trang,Trữ Tình,132634,Em Đi Trên Cỏ Non
Quang Lê,Trữ Tình,887195,Về Quê Ngoại
Đan Nguyên,Trữ Tình,71815,Ngày Cưới Em 
Quang Lê,Trữ Tình,359114,Đêm Cuối
Quang Lê,Trữ Tình,11642657,Về Đâu Mái Tóc Người Thương
Đàm Vĩnh Hưng,Trữ Tình,739064,Tuổi Hồng Thơ Ngây
Cẩm Ly,Trữ Tình,149166,Em Gái Quê
Cẩm Ly,Nhạc Trẻ,707826,Thương Nhớ Người Dưng (Acoustic Version)
Lệ Quyên,Trữ Tình,1260189,Ngọn Trúc Đào 
Như Quỳnh,Trữ Tình,209867,Tiếng Chim Đa Đa
V.A,Trữ Tình,167,Thành Phố Quê Em
Hà Phương,Trữ Tình,376730,Tiếng Thạch Sùng
Duy Trường,Trữ Tình,94493,Nỗi Buồn Chim Sáo
V.A,Trữ Tình,21407,Tuyển Tập Nhạc Trữ Tình Chọn Lọc
Cẩm Ly,Trữ Tình,636541,Vọng Cổ Buồn
"Lâm Thúy Vân,Đan Nguyên",Trữ Tình,453384,Phút Cuối
Vũ Khanh,Trữ Tình,32344,Chỉ Chừng Đó Thôi
Phương Thủy,Trữ Tình,34266,Cho Người Tình Lỡ
Quỳnh Lan,Trữ Tình,29446,Cô Đơn
"OnlyC,Binz",Nhạc Trẻ,1376058,Sau Lưng Anh Sẽ Là
Khắc Việt,Nhạc Trẻ,2086774,Không Yêu Cũng Đừng Làm Bạn
Ngô Kiến Huy,Nhạc Trẻ,1689831,Đến Lúc Quên
Lệ Quyên,Trữ Tình,2110102,Hoa Nở Về Đêm
Vũ Cát Tường,Nhạc Trẻ,247065,Góc Đa Hình
"Bằng Cường,Thái Lan Viên",Nhạc Trẻ,342438,Đợi Em Về
Trung Quân Idol,Nhạc Trẻ,1322454,Mưa Trên Biển Vắng
Vương Anh Tú,Nhạc Trẻ,374916,Trả Lại Những Gì Thuộc Về Em
"Asa,Nyny Mama",Rap Việt,13433,Hết Rồi
V.A,Không Lời,50912,Hoa Nở Về Đêm
Thùy Chi,Nhạc Trẻ,1538326,Một Thời Đã Xa
"Asa,Nyny Mama,LDT,Lil Name",Rap Việt,149404,Hết Rồi
Hồ Quang Hiếu,Nhạc Trẻ,2414761,Hết Rồi
Hoàng Châu,Nhạc Trẻ,74273,Hoa Nở Về Đêm
"Quách Tuấn Du,Bằng Cường,Võ Hạ Trâm,Thu Trang",Trữ Tình,17374,Vui Trong Ánh Đạo
"Khánh Won,Bằng Cường",Rap Việt,50832,Mất Người Anh Yêu 2
Bằng Cường,Nhạc Trẻ,5858,Hạnh Phúc Là Điều Giản Dị
Lệ Quyên,Trữ Tình,361199,Bài Không Tên Số 6
Thiên Kim,Nhạc Trẻ,48412,Một Thời Đã Xa
"Thùy Chi,Takayz",Nhạc Trẻ,10128,Bay Lên
"Minh Vương M4U,Thùy Chi",Không Lời,198145,Yêu Thương Muộn Màng Beat
"Vũ Duy Khánh,Thùy Chi",Trữ Tình,36306,Vì Khi Đã Yêu 2012
Thùy Chi,Nhạc Trẻ,12133,Mùa Thu Nhớ Em
Thùy Chi,Trữ Tình,160150,Đánh Rơi Bên Hồ
Lệ Quyên,Trữ Tình,371039,Bài Không Tên Số 7
Lệ Quyên,Trữ Tình,353090,Bài Không Tên Số 9
Lệ Quyên,Trữ Tình,344938,Bài Không Tên Số 8
Phương Thanh,Nhạc Trẻ,1338897,Một Thời Đã Xa
Minh Thuận,Nhạc Trẻ,26283,Một Thời Đã Xa
"V-Ray,Vũ Cát Tường",Rap Việt,71378,Như Chưa Bắt Đầu
Bằng Cường,Nhạc Trẻ,39435,Anh Không Khóc Được
Vương Anh Tú,Nhạc Trẻ,57348,Tan Biến
Lệ Quyên,Tiền Chiến,1069592,Dấu Tình Sầu
Lệ Quyên,Trữ Tình,531377,Câu Chuyện Đầu Năm
Vương Anh Tú,Nhạc Trẻ,24066,Giúp Em Trả Lời Những Câu Hỏi
Vương Anh Tú,Nhạc Trẻ,380265,Một Lần Bất Tín Vạn Lần Bất Tin
