singers,genres,total_play,title
Quốc Thiên,Nhạc Trẻ,101487,Nhớ Đến Anh
Karina,Pop,11219,Love Right Next To You
"Chris Brown,Tayla Parx",R&B/Hip Hop/Rap,5763,Anyway
Maria Hazell,Pop,6295,Golden Boy
V.A,"Âu, Mỹ",735,You Don'T Have To Say You Love Me
V.A,"Âu, Mỹ",747,Killing Me Softly With His Song
V.A,"Âu, Mỹ",299,Smoke Gets In Your Eyes
"Minh Vương M4U,Thùy Chi",Nhạc Trẻ,2498853,Yêu Thương Muộn Màng
"Hồ Việt Trung,Hồ Quang Hiếu",Nhạc Trẻ,2950509,Gượng Cười
Mr.Siro,Nhạc Trẻ,303890,Cho Em
"Soobin Hoàng Sơn,BigDaddy,Touliver",Rap Việt,2816396,Daydreams
Bùi Vĩnh Phúc,Nhạc Trẻ,1144974,Yêu Em Nhưng Không Với Tới
Bùi Anh Tuấn,Nhạc Trẻ,3140972,Bí Mật Không Tên
"Mỹ Tâm,Wanbi Tuấn Anh",Nhạc Trẻ,707603,Nụ Cười Còn Mãi
Bùi Anh Tuấn,Nhạc Trẻ,533970,Chỉ Là Giấc Mơ (New Version)
Khánh Phương,Nhạc Trẻ,2067909,Đôi Khi Đàn Ông Cũng Tổn Thương
Bảo Uyên,Nhạc Trẻ,1188639,Để Lại Cho Em
Trung Quân Idol,Nhạc Trẻ,1327811,Mưa Trên Biển Vắng
Lê Bảo Bình,Nhạc Trẻ,661260,Nhớ Gia Đình
"Bùi Anh Tuấn,Minh Uyên",Nhạc Trẻ,587249,Quên
"Bảo Thy,Bùi Anh Tuấn",Nhạc Trẻ,120213,Đêm Cô Đơn
Hồ Việt Trung,Nhạc Trẻ,179413,Yêu Từ Xa
Lê Bảo Bình,Nhạc Trẻ,355484,Tôi Vẫn FA
Lê Bảo Bình,Nhạc Trẻ,207116,Sang Chém Gió 
"Đan Nguyên,Hà Thanh Xuân",Trữ Tình,395711,Tiễn Một Người Đi
DJ,Nhạc Trẻ,879147,LK Nhạc Việt (Remix)
Tuấn Hưng,Nhạc Trẻ,345966,Tha Thứ Lỗi Lầm Remix
"Lâm Vũ,Tuấn Hưng",Nhạc Trẻ,117095,Điều Anh Không Ngờ
Wanbi Tuấn Anh,Nhạc Trẻ,315896,Bắt Sóng Cảm Xúc
Đan Nguyên,Trữ Tình,349237,Túy Ca
Lyna Thùy Linh,Nhạc Trẻ,1422202,Yêu Quá Lâu
Lyna Thùy Linh,Nhạc Trẻ,1083388,Em Khóc Vì Anh
Lyna Thùy Linh,Trữ Tình,602764,Mẹ Hiền Của Con
Đan Nguyên,Trữ Tình,412067,"LK Thành Phố Buồn, Giọt Lệ Sầu"
Đan Nguyên,Trữ Tình,282208,Đêm Lang Thang (Vinh Sử)
Đan Nguyên,Trữ Tình,300195,Lầm (Lam Phương)
Đan Nguyên,Trữ Tình,833947,Tình chết theo mùa đông  (Lam Phương)
Đan Nguyên,Trữ Tình,855539,Lời Đắng Cho Cuộc Tình
Đan Nguyên,Trữ Tình,359424,Thói đời
Đan Nguyên,Trữ Tình,505859,Nếu một ngày
Lyna Thùy Linh,Không Lời,2478,Giữ Giùm Em Trái Tim Beat
Đan Nguyên,Trữ Tình,362899,Lời Cuối Cho Người Tình Phụ
Đan Nguyên,Trữ Tình,363369,LK Ngày Vui Qua Mau
Lyna Thùy Linh,Nhạc Trẻ,149064,Giữ Giùm Em Trái Tim
Lyna Thùy Linh,Không Lời,2775,Chỉ Một Người Hiểu Beat
Đan Nguyên,Trữ Tình,367645,Căn nhà màu tím (Hoài Linh)
Đan Nguyên,Trữ Tình,809671,Tình Như Mây Khói (Lam Phương)
Đan Nguyên,Trữ Tình,334101,Gặp Nhau Làm Chi
Đan Nguyên,Trữ Tình,400668,Tình Kỷ Nữ (Trịnh Lâm Ngân)
Đan Nguyên,Trữ Tình,898983,Xin Làm Người Tình Cô Đơn
Đan Nguyên,Trữ Tình,872861,Hoa Sứ Nhà Nàng (Hoàng Phương)
Đan Nguyên,Trữ Tình,466618,Hãy Quên Anh
Lyna Thùy Linh,Không Lời,2556,Em Khóc Vì Anh Beat
Lyna Thùy Linh,Nhạc Trẻ,7796,Em Khóc Vì Anh
