singers,genres,total_play,title
Kylie Minogue,Pop,1653,2000 Miles
Kylie Minogue,Pop,1757,White December
Sơn Tùng (M-TP),Rap Việt,4496621,Làm Người Luôn Yêu Em
365,Nhạc Trẻ,560689,Nơi Anh Không Thuộc Về (Acoustic Version)
"Quang Lê,Lệ Quyên",Trữ Tình,3471664,Không Giờ Rồi
V.A,Thể Loại Khác,68,Radio UTC Số 16 (19/12/2015)
Sky Nguyễn,Thể Loại Khác,679,Con Chỉ Là Tạo Vật
"Quang Lê,Mai Thiên Vân",Trữ Tình,1612893,Nhà Anh Nhà Em
DJ Thái,Thể Loại Khác,16,Nonstop - Việt Mix - Âm Thầm Bên Em - Vợ Người Ta
Châu Khải Phong,Thể Loại Khác,169,Lời Hứa Em Đã Quên (DJ Cò House Remix)
TaeTiSeo,Hàn Quốc,284,Dear Santa
OnlyC,Rap Việt,20914,Đời Và Mẹ
OnlyC,Nhạc Trẻ,15902,Ánh Sáng
Hoàng Yến Chibi,Nhạc Trẻ,142556,Sống Như Những Đóa Hoa (Học Viện Ngôi Sao)
Hoàng Yến Chibi,Nhạc Trẻ,462771,Mùa Cô Đơn
Go One,Nhạc Trẻ,941,Xuân Về Nơi Nơi
Thái Phi Long,Nhạc Trẻ,381,Thiên Đường Tình Yêu
"Trịnh Thăng Bình,Phạm Hoàng Duy",Nhạc Trẻ,597069,Noel Cô Đơn
Go One,Nhạc Trẻ,529,Nhớ Mong
Phạm Hoàng Duy,Nhạc Trẻ,61979,Gục Ngã
"Phạm Hoàng Duy,Lương Hải Vinh",Nhạc Trẻ,423448,Chẳng Như Anh Từng Nghĩ
Thái Phi Long,Không Lời,169,Thiên Đường Tình Yêu Beat
Thái Phi Long,Nhạc Trẻ,223,Hương Tình Buồn
Thái Phi Long,Không Lời,217,Hương Tình Buồn Beat
Thái Phi Long,Nhạc Trẻ,323,Si Tình Tỉnh Giấc
Thái Phi Long,Nhạc Trẻ,292,Khoảng Trống
Trương Tâm Nhi,Nhạc Trẻ,540,Lời Yêu Thương
Thái Phi Long,Nhạc Trẻ,327,Góc Phố Xưa
Trương Tâm Nhi,Nhạc Trẻ,148209,Phía Sau Anh
"LyLy Trần,Trương Tâm Nhi",Nhạc Trẻ,462343,Hạnh Phúc Đi Anh
"Trương Tâm Nhi,DJ Phơ Nguyễn",Nhạc Trẻ,438,Niềm Đau Remix
"Trương Tâm Nhi,DJ Phơ Nguyễn",Nhạc Trẻ,687,Người Ấy Yêu Em Remix
Trương Tâm Nhi,Nhạc Trẻ,783,A.T.S.M. (Ảo Tưởng Sức Mạnh)
"Trương Tâm Nhi,DJ Phơ Nguyễn",Nhạc Trẻ,55699,Người Tình Lạc Lối Remix
"Trương Tâm Nhi,DJ Phơ Nguyễn",Nhạc Trẻ,617,Hạnh Phúc Đi Anh Remix
Lyna Thùy Linh,Nhạc Trẻ,149224,Giữ Giùm Em Trái Tim
Lyna Thùy Linh,Không Lời,2499,Giữ Giùm Em Trái Tim Beat
"Trương Tâm Nhi,DJ Phơ Nguyễn",Nhạc Trẻ,602,Phía Sau Anh Remix
Lyna Thùy Linh,Không Lời,2572,Em Khóc Vì Anh Beat
Lyna Thùy Linh,Nhạc Trẻ,10109,Chỉ Một Người Hiểu
Lyna Thùy Linh,Không Lời,2790,Chỉ Một Người Hiểu Beat
Lyna Thùy Linh,Không Lời,3528,Điều Tốt Nhất Là Chia Tay Beat
Lyna Thùy Linh,Nhạc Trẻ,13206,Em Thật May Mắn
"Lyna Thùy Linh,Gia Ly",Nhạc Trẻ,19442,Điều Tốt Nhất Là Chia Tay
Lyna Thùy Linh,Nhạc Trẻ,7860,Em Khóc Vì Anh
Lyna Thùy Linh,Không Lời,3994,Em Thật May Mắn Beat
Go One,Nhạc Trẻ,948,Như Anh Từng Mơ
Go One,Nhạc Trẻ,270,Nhớ Ơn Mẹ
Go One,Nhạc Trẻ,270,Dành Cho Con
Go One,Nhạc Trẻ,283,Nguyện Ước Con Dành Cho Mẹ
Go One,Nhạc Trẻ,401,Con Sẽ Không Quên
Go One,Nhạc Trẻ,305,Con Yêu
Lyna Thùy Linh,Nhạc Trẻ,150683,Anh Ác Lắm
Lyna Thùy Linh,Nhạc Trẻ,127548,Trời Cho Em Mọi Thứ (Version 2)
Lyna Thùy Linh,Nhạc Trẻ,638470,Trời Cho Em Mọi Thứ
Lyna Thùy Linh,Nhạc Trẻ,11800,Tìm Đâu Một Người Hơn Anh
Lyna Thùy Linh,Trữ Tình,602839,Mẹ Hiền Của Con
Lyna Thùy Linh,Nhạc Trẻ,201370,Mẹ Em Không Thích Anh
Lyna Thùy Linh,Nhạc Trẻ,333479,Làm Người Yêu Em Nhé
Lyna Thùy Linh,Nhạc Trẻ,1422503,Yêu Quá Lâu
Lyna Thùy Linh,Nhạc Trẻ,1083510,Em Khóc Vì Anh
Lyna Thùy Linh,Nhạc Trẻ,56604,Hai Câu Hỏi
"Trịnh Lam,Minh Tuyết",Nhạc Trẻ,289190,	Dư Âm Tình Ta
La Hoàng Phúc,Nhạc Trẻ,135930,Cố Gượng Cười
Khắc Việt,Nhạc Trẻ,7081814,Anh Yêu Người Khác Rồi
Khánh Phương,Nhạc Trẻ,1480927,Lời Nói Của Thế Gian
Hồ Việt Trung,Nhạc Trẻ,3217942,Anh Nguyện Chết Vì Em
Vương Anh Tú,Nhạc Trẻ,5456514,Giúp Anh Trả Lời Những Câu Hỏi
Đình Phong,Nhạc Trẻ,1053416,Yêu Đơn Phương Người Cũ
Hồ Quang Hiếu,Nhạc Trẻ,2306606,Tìm Em
Lương Bích Hữu,Nhạc Trẻ,8187004,Anh Muốn Chia Tay Phải Không
Quang Hà,Nhạc Trẻ,1709268,Ngỡ
