singers,genres,total_play,title
Carly Rae Jepsen,Pop,189291,La Hallucinations
Lâm Vũ,Nhạc Trẻ,122208,Em Là Vầng Trăng Của Anh
365,Nhạc Trẻ,2779984,Nơi Anh Không Thuộc Về
Kim Bảo,Nhạc Trẻ,26,Ngày Em Trở Về (Demo)
Mạnh Quỳnh,Trữ Tình,222469,Xin Làm Người Xa Lạ (2012)
"Quang Lê,Lệ Quyên",Trữ Tình,3477578,Không Giờ Rồi
"365,Clown D",Nhạc Trẻ,1884498,Hai Cô Tiên (Remix)
Văn Mai Hương,Nhạc Trẻ,1043335,Chậm Lại Một Phút
PSY,Hàn Quốc,30530,Gangnam Style (강남 스타일)
365,Không Lời,76972,Nơi Anh Không Thuộc Về (Beat & Instrument)
365,Nhạc Trẻ,126215,Nơi Anh Không Thuộc Về
V.A,Nhạc Trẻ,3963,My Favorite Songs
V.A,Nhạc Trẻ,9829,Tình Yêu Đau Đớn Thế
V.A,Nhạc Trẻ,87191,LK Xây Nhà Bên Suối - Túp Lều Lý Tưởng
V.A,Nhạc Trẻ,6128,Hát Đi Em Mùa Xuân
V.A,Nhạc Trẻ,70529,LK Hương Sắc Tết Việt 
"Y Thanh,V.A",Nhạc Trẻ,286364,Hãy Cười
V.A,Nhạc Trẻ,11621,Hoa Hồng Của Quỷ (OST)
Hồ Trung Dũng,Nhạc Trẻ,132997,Hãy Mang Đến Những Mùa Xuân
V.A,Nhạc Trẻ,31270,"LK Sài Gòn, Sài Gòn"
Việt My,Nhạc Trẻ,209469,Phố Xuân
"Yến Trang,Yến Nhi",Nhạc Trẻ,304101,Con Bướm Xuân
"Thái Hoàng Anh,V.A",Nhạc Trẻ,3610,Đêm Trăng Tuổi Thơ
V.A,Nhạc Trẻ,14686,Tên Tôi Việt Nam
V.A,Nhạc Trẻ,12341,Dòng Máu Người Việt Nam
V.A,Nhạc Trẻ,26767,Con Có Mẹ Rồi
V.A,Nhạc Trẻ,675,Một Thế Giới
V.A,Nhạc Trẻ,9985,Bạn Ơi (Version 2)
V.A,Nhạc Trẻ,334216,Bầu Trời Âm Nhạc
"Trịnh Lam,Minh Tuyết",Nhạc Trẻ,290172,	Dư Âm Tình Ta
Khang Việt,Nhạc Trẻ,170958,Hạnh Phúc Ngày Xuân
Hồ Ngọc Hà,Nhạc Trẻ,178291,Bức Tranh Xuân Ngời
Hồ Trung Dũng,Nhạc Trẻ,145176,Cám Ơn Một Đóa Xuân Ngời
Minh Hằng,Nhạc Trẻ,619702,Xuân Đã Về
Tiêu Châu Như Quỳnh,Nhạc Trẻ,167682,Khúc Ca Xuân
Bảo Anh,Nhạc Trẻ,414376,Điệp Khúc Mùa Xuân
Hiền Thục,Nhạc Trẻ,1313494,Con Bướm Xuân
Bee.T,Nhạc Trẻ,204183,Xuân Đến Muôn Nhà
"Ngô Kiến Huy,Bảo Thy",Nhạc Trẻ,281732,Tình Em Mùa Xuân
Phương Vy,Nhạc Trẻ,222043,Gắn Kết Mùa Xuân
V.Music,Nhạc Trẻ,244558,Xuân Ước Mơ
Nam Cường,Nhạc Trẻ,218197,Xuân Bình Yên
Triệu Lộc,Nhạc Trẻ,189891,Tình Yêu Mùa Xuân
Lam Trường,Nhạc Trẻ,195601,Tiếng Sáo Phiêu Bồng
Quang Vinh,Nhạc Trẻ,358050,Nếu Lúc Trước Em Đừng Tới
Ưng Hoàng Phúc,Nhạc Trẻ,249258,Tôi Không Tin
Bảo Thy,Nhạc Trẻ,218989,Em Sai
"Khánh Phương,Vy Oanh",Nhạc Trẻ,117770,Tam Sinh Duyên
Tú Quyên,Nhạc Trẻ,133281,Trái Tim Thổn Thức
Quang Vinh,Nhạc Trẻ,132886,Người Em Không Yêu
Loan Châu,Nhạc Trẻ,143610,Ánh Trăng Lẻ Loi
Đan Trường,Nhạc Trẻ,268191,Bóng Dáng Thiên Thần
Đan Trường,Nhạc Trẻ,357519,Cuộc Tình Cay Đắng
Hoàng Thanh,Nhạc Trẻ,148155,Tâm hồn xao động
"Shayla,Philip Huy",Nhạc Trẻ,277634,Thiên Duyên Tiền Định
"Duy Uyên,Phạm Thái Thành",Trữ Tình,262664,Cà Phê Miệt Vườn
"Lưu Bích,Nguyễn Hưng",Nhạc Trẻ,371983,Trả Nợ Tình Xa
Vân Quang Long,Nhạc Trẻ,168546,Thôi Ta Chia Tay
"Đặng Thế Luân,Băng Tâm",Trữ Tình,472868,Tình Nghĩa Đôi Ta Chỉ Thế Thôi
"Băng Tâm,Đan Nguyên",Trữ Tình,2575185,Nếu Chúng Mình Cách Trở
"Lâm Thúy Vân,Đan Nguyên",Trữ Tình,468586,Phút Cuối
Bee.T,Tui Hát,371095,Xuân Rạng Ngời
Hồ Trung Dũng,Nhạc Trẻ,248808,Em Đã Thấy Mùa Xuân Chưa
Trang Pháp,Nhạc Trẻ,341737,Xuân Chờ Anh
Khang Việt,Nhạc Trẻ,522553,Đón Xuân
"Nam Cường,Việt My",Nhạc Trẻ,599124,Người Tình Ơi Mơ Gì
"Khang Việt,Hiền Thục",Nhạc Trẻ,738805,Thiên Duyên Tiền Định
Hồ Trung Dũng,Nhạc Trẻ,385874,Lời Tỏ Tình Của Mùa Xuân
"Minh Thư,Tiêu Châu Như Quỳnh",Nhạc Trẻ,428526,Xuân Bên Em
Trịnh Thăng Bình,Nhạc Trẻ,493082,Mùa Xuân Mới (New Version)
Noo Phước Thịnh,Nhạc Trẻ,522613,Xuân Ca
Chi Dân,Nhạc Trẻ,1213206,Nàng Xuân
"Cẩm Ly,Vân Quang Long",Nhạc Trẻ,352682,Lời Cuối Cho Tình Yêu
Minh Tuyết,Nhạc Trẻ,380193,Vầng Trăng Đêm Trôi
"Đan Trường,Cẩm Ly",Nhạc Trẻ,287950,Tuyết Hồng
"Cao Mỹ Kim,Bùi Anh Tuấn",Nhạc Trẻ,248852,Một Thuở Yêu Người
Ưng Hoàng Phúc,Nhạc Trẻ,812922,Vì Sao Trong Lòng Tôi
Đan Trường,Nhạc Trẻ,348200,Chờ Trên Tháng Năm
Thủy Tiên,Nhạc Trẻ,784669,Nắng Xuân Hồng
"Đan Trường,Cẩm Ly",Nhạc Trẻ,829607,Trở Lại Phố Cũ
Noo Phước Thịnh,Nhạc Trẻ,1168120,Hạnh Phúc Xuân Ngời
"Nam Cường,Việt My",Nhạc Trẻ,592844,Hoa Cỏ Mùa Xuân
Quang Lê,Trữ Tình,1492508,Xuân Này Con Không Về
