singers,genres,total_play,title
"Jessie J,Ariana Grande","Âu Mỹ,Pop",631876,Bang Bang
"Skrillex,Diplo","Âu Mỹ,Electronic / Dance",238933,Where Are U Now
Miley Cyrus,"Âu Mỹ,Pop",143388,Wrecking Ball
Adele,,2698640,Rolling In The Deep
TAS,"Việt Nam,Nhạc Trẻ",62576,Waiting For You
Lonestar,"Âu Mỹ,Country",631,Come Crying To Me
Mariah Carey,"Pop,Âu Mỹ,R&B / Soul",439143,All I Want For Christmas Is You
"Major Lazer,MØ","Âu Mỹ,Electronic / Dance",355568,Lean On
Alabama,"Âu Mỹ,Country",603,Come Find Me
Miranda Lambert,"Country,Âu Mỹ",42500,The House That Built Me
Justin Bieber,"Âu Mỹ,Pop",2796858,Mistletoe
"Calvin Harris,Disciples","Âu Mỹ,Electronic / Dance",65588,How Deep Is Your Love
Avril Lavigne,"Âu Mỹ,Pop,Rock",238504,Give You What You Like
Carly Rae Jepsen,"Âu Mỹ,Pop",536875,I Really Like You
Pistol Annies,"Âu Mỹ,Rock",278,I Hope You're The End Of My Story
Monty Lane Allen,"Âu Mỹ,Country",6,Fallin' Water
"Kygo,Ella Henderson","Âu Mỹ,Electronic / Dance",4088,Here For You
Dierks Bentley,"Âu Mỹ,Country",25033,Say You Do
Il Volo,"Âu Mỹ,Pop",0,Aspettero’
Sabrina Carpenter,"Âu Mỹ,Pop",9,Christmas The Whole Year Round
Il Volo,"Âu Mỹ,Pop",2,Grande Amore
Il Volo,"Âu Mỹ,Pop",0,"Nel Blu, Dipinto Di Blu (Volare)"
Il Volo,"Âu Mỹ,Pop",0,La Vita
Lynk Lee,"Việt Nam,Rap Việt",64209,Đơn Côi
Il Volo,"Âu Mỹ,Pop",0,Quando L’Amore Diventa Poesia
Billy Gilman,"Âu Mỹ,Pop",2,Falling
Nick Carter,"Âu Mỹ,Pop",8,Man On The Moon
Alabama,"Âu Mỹ,Country",0,This Ain’t Just A Song
Sigala,"Âu Mỹ,Electronic / Dance",613,Easy Love
Zara Larsson,"Âu Mỹ,Pop",835,Lush Life
"Olly Murs,Travie McCoy","Âu Mỹ,Pop",14932,Wrapped Up
"Kygo,Will Heard","Âu Mỹ,Electronic / Dance",5121,Nothing Left
"Kygo,Conrad","Âu Mỹ,Pop",20322,Firestone
Alabama,"Âu Mỹ,Country",1,It’s About Time
Alabama,"Âu Mỹ,Country",32,I Wanna Be There
Alabama,"Âu Mỹ,Country",4,Footstompin’ Music
"Kygo,Conrad","Âu Mỹ,Electronic / Dance",12271,Firestone
"Justin Bieber,Halsey","Âu Mỹ,Pop",13882,The Feeling
Alabama,"Âu Mỹ,Country",0,Back To The Country
Alabama,"Âu Mỹ,Country",1,As Long As There’s Love
Alabama,"Âu Mỹ,Country",0,American Farmer
Hương Tràm,"Việt Nam,Nhạc Trẻ",5597416,Với Em Là Mãi Mãi
Alabama,"Âu Mỹ,Country",0,Hillbilly Wins The Lotto Money
Bức Tường,,2049193,Đường Đến Vinh Quang
Alabama,"Âu Mỹ,Country",0,One On One
Hải Băng,"Việt Nam,Nhạc Trẻ",504498,Cảm Giác Thiên Thư
Hamlet Trương,"Việt Nam,Nhạc Trẻ",6171421,Thương Nhau Để Đó
Nam Du,"Việt Nam,Nhạc Trẻ",5848006,Anh Không Thể Tha Thứ Mình
Hamlet Trương,"Việt Nam,Nhạc Trẻ",1721732,Mỉm Cười Cho Qua
Hamlet Trương,"Việt Nam,Nhạc Trẻ",1775615,Vì Tạm Biệt Là Từ Buồn Nhất
"Michael Bolton,Kelly Rowland","Âu Mỹ,Pop",2246,Ain't No Mountain High Enough
Alabama,"Âu Mỹ,Country",0,No Bad Days
Sia,"Âu Mỹ,Pop",22909,Alive
Hamlet Trương,"Việt Nam,Nhạc Trẻ",1840684,Người Thương
Hamlet Trương,"Việt Nam,Nhạc Trẻ",7338917,Người Yêu Cũ Có Người Yêu Mới
Survivor,"Âu Mỹ,Rock",23008,Eye Of The Tiger
Michael Jackson,"Âu Mỹ,Pop",234068,Beat It
Tuấn Ngọc,"Nhạc Trữ Tình,Việt Nam",225221,Áo Lụa Hà Đông
Mariah Carey,"R&B / Soul,Âu Mỹ",773750,Forever
Norah Jones,"Blues / Jazz,Âu Mỹ",6232,Those Sweet Words
Eminem,"Âu Mỹ,Rap / Hip Hop",1326482,Not Afraid
