singers,genres,total_play,title
Trịnh Thăng Bình,Nhạc Trẻ,947131,Từ Khi Gặp Em
Lê Bảo Bình,Nhạc Trẻ,656603,Nhớ Gia Đình
Châu Khải Phong,Không Lời,69677,Khi Nào Em Buồn (Remix) Beat
Phan Mạnh Quỳnh,Nhạc Trẻ,107591,Nắng Mùa Hạ
Huyền Anh (Bà Tưng),Nhạc Trẻ,9188,Giá Như
Phan Mạnh Quỳnh,Nhạc Trẻ,751127,Làm Sao Giữ
Trịnh Thăng Bình,Không Lời,17342,Sau Bao Năm (Beat & Instrumental)
Trịnh Thăng Bình,Không Lời,232119,Người Ấy (Piano)
Trịnh Thăng Bình,Nhạc Trẻ,52583,Xin Hãy Quên Anh
Trịnh Thăng Bình,Nhạc Trẻ,146066,Thiếu Một Người
Vương Anh Tú,Nhạc Trẻ,5449589,Giúp Anh Trả Lời Những Câu Hỏi
"Trịnh Thăng Bình,Rap Soul",Nhạc Trẻ,240388,Sài Gòn Đêm Nay
Khánh Phương,Nhạc Trẻ,1479860,Lời Nói Của Thế Gian
Phan Mạnh Quỳnh,Không Lời,139589,Anh Sẽ Yêu Người Ấy Hơn Em (Beat & Instrumental)
Phan Mạnh Quỳnh,Nhạc Trẻ,400650,Mất Hy Vọng
"Vĩnh Thuyên Kim,Hồ Quang Hiếu",Nhạc Trẻ,2306701,Biết Trước Sẽ Không Mất Nhau
Lê Bảo Bình,Không Lời,30025,Vợ Là Nhất (Beat & Instrumental)
Phan Mạnh Quỳnh,Không Lời,120429,Tự Cmn Kỷ (Beat & Instrumental)
Ngô Kiến Huy,Nhạc Trẻ,5318139,Là Người Em Đã Yêu
Khởi My,Nhạc Trẻ,1592515,I Don't Want
Lê Bảo Bình,Nhạc Trẻ,42148,Yêu Luôn Nhé Em
"Phan Mạnh Quỳnh,Lê Bảo Bình",Không Lời,152040,Không Quan Trọng (Beat & Instrumental)
Khánh Tân,Nhạc Trẻ,35210,Nhớ Người Anh Yêu
Phan Mạnh Quỳnh,Nhạc Trẻ,977779,Khi Phải Quên Đi
Đình Phong,Nhạc Trẻ,2399192,Chỉ Còn Anh Và Mưa
Yuki Huy Nam,Nhạc Trẻ,108576,Cần Một Lời Giải Thích
Trung Quân Idol,Nhạc Trẻ,8410924,Dấu Mưa
"Karik,OnlyC",Rap Việt,10397635,Anh Không Đòi Quà
Khởi My,Nhạc Trẻ,9762935,Người Yêu Cũ
Nam Du,Nhạc Trẻ,363039,Lời Hứa Chỉ Là Lời Hứa
The Men,Nhạc Trẻ,978136,Chính Là Anh
Yuki Huy Nam,Nhạc Trẻ,13704133,Nhìn Em Lần Cuối
Lệ Quyên,Nhạc Trẻ,1449678,Thôi Đừng Chiêm Bao
Lê Bảo Bình,Nhạc Trẻ,48908,Nhớ Gia Đình
Dương Đình Trí,Nhạc Trẻ,9492,Từ Khi Gặp Em
Hồ Quang Hiếu,Nhạc Trẻ,5176871,Không Cảm Xúc
"Đoàn Thúy Trang,BigDaddy",Nhạc Trẻ,6057118,Tình Yêu Màu Nắng
Quách Thành Danh,Nhạc Trẻ,18114,Nhớ Gia Đình
"Hoàng Tôn,Yanbi",Nhạc Trẻ,6255002,Em Không Quay Về
Bích Phương,Nhạc Trẻ,2965215,Nếu Hạnh Phúc Không Phải Em
Lâm Chấn Khang,Nhạc Trẻ,2171795,Nonstop Lan Và Điệp
Bích Phương,Nhạc Trẻ,2258611,Nếu Anh Là Em
Quang Hà,Nhạc Trẻ,1708380,Ngỡ
Bích Phương,Nhạc Trẻ,1395758,Em Không Tin
Bảo Anh,Nhạc Trẻ,9864943,Anh Muốn Em Sống Sao
Lê Bảo Bình,Nhạc Trẻ,121834,Xem Nhau Là Dĩ Vãng
Lê Bảo Bình,Nhạc Trẻ,123079,Lời Hứa Giả Dối
Lê Bảo Bình,Trữ Tình,139198,Cuộc Sống Xa Nhà
Lê Bảo Bình,Nhạc Trẻ,153711,Kiếp Lẩu Khói
Lê Bảo Bình,Nhạc Trẻ,206506,Sang Chém Gió 
Lê Bảo Bình,Nhạc Trẻ,354322,Tôi Vẫn FA
Lê Bảo Bình,Nhạc Trẻ,289992,Vợ Là Nhất
Khắc Việt,Nhạc Trẻ,7072460,Anh Yêu Người Khác Rồi
Lê Bảo Bình,Nhạc Trẻ,577405,Không Cảm Nhận
Hồ Việt Trung,Nhạc Trẻ,3213278,Anh Nguyện Chết Vì Em
Yuki Huy Nam,Nhạc Trẻ,8813615,Nhìn Lại Anh Em Nhé
365,Nhạc Trẻ,2773546,Nơi Anh Không Thuộc Về
Chi Dân,Nhạc Trẻ,7659043,Không Quan Tâm
Phan Mạnh Quỳnh,Nhạc Trẻ,7386852,Anh Ghét Làm Bạn Em
"Bảo Thy,Hồ Quang Hiếu",Nhạc Trẻ,3653915,Nếu Như Ta Cách Xa
Lê Bảo Bình,Nhạc Trẻ,602277,Xin Lỗi Anh Chỉ Có 100K
Tùng Sơn,Rap Việt,6079727,Nắng Ấm Xa Dần 
"Cao Thái Sơn,Hương Tràm",Nhạc Trẻ,8185042,Sẽ Có Người Cần Anh
Hồ Quang Hiếu,Nhạc Trẻ,24950492,Con Bướm Xuân
Hải Băng,Nhạc Trẻ,379260,Tưởng Rằng Đã Quên
Tùng Sơn,Nhạc Trẻ,4042693,Chắc Ai Đó Sẽ Về (Chàng Trai Năm Ấy OST)
