singers,genres,total_play,title
Minh Vương M4U,Nhạc Trẻ,606141,Nỗi Đau Nhẹ Nhàng
Hoàng Yến Chibi,Nhạc Trẻ,227133,Còn Đâu Yêu Thương
Hoàng Yến Chibi,Nhạc Trẻ,142252,Sống Như Những Đóa Hoa (Học Viện Ngôi Sao)
Vicky Nhung,Nhạc Trẻ,78754,Nói Đi Mà
Phan Mạnh Quỳnh,Nhạc Trẻ,516979,Thật May Cho Anh
Nguyễn Đình Vũ,Nhạc Trẻ,3553214,Bù Nhìn Ở Trong Gương
Thảo Trang,Thể Loại Khác,41417,Feel The Life (Touliver Remix)
Khổng Tú Quỳnh,Nhạc Trẻ,39426,Có Khi Nào (Triệu Lador Remix)
"DJ Shen 43,Khắc Việt",Thể Loại Khác,226345,Biết Nói Là Tại Sao (Remix 2015)
Khánh Phương,Nhạc Trẻ,346082,Đừng Mặc Cảm Với Cảm Giác
Đan Nguyên,Trữ Tình,1330241,Đêm Lang Thang
Đan Nguyên,Trữ Tình,330584,LK Giọt Lệ Tình
Đan Nguyên,Trữ Tình,2755099,Người Yêu Cô Đơn
Đan Nguyên,Trữ Tình,911481,Một Ngày Không Có Em
Đan Nguyên,Trữ Tình,1356982,Những Lời Này Cho Em
Đan Nguyên,Trữ Tình,1882017,Thói Đời
Đan Nguyên,Trữ Tình,490010,Tôi Vẫn Cô Đơn
Đan Nguyên,Nhạc Trẻ,1008876,Mùa Xuân Đó Có Em
Đan Nguyên,Trữ Tình,1104927,Ngày Đó Xa Rồi
Đan Nguyên,Trữ Tình,387499,Thành Phố Sau Lưng
"Eddy Huy,Lil' One,Bảo Thạch,Sói,L2K,Rik,Nguyễn Đình Vũ,Le'dk",Rap Việt,36197,Uguyz Family
"Nguyễn Đình Vũ,Hoàng Rapper",Nhạc Trẻ,83578,Đơn Giản
Nguyễn Đình Vũ,Nhạc Trẻ,108940,Một Ngày Làm Con Gái
Khắc Việt,Nhạc Trẻ,1437356,Người Không Đáng
Nguyễn Đình Vũ,Nhạc Trẻ,131785,Khi Anh Không Còn Yêu 
Nguyễn Đình Vũ,Nhạc Trẻ,204442,Em Đã Buông Tay
Nguyễn Đình Vũ,Nhạc Trẻ,1191462,Mình Đừng Gặp Nhau
Nguyễn Đình Vũ,Nhạc Trẻ,385356,Tha Thứ Cho Anh Em Nhé
Lâm Vũ,Nhạc Trẻ,51859,Nhớ Em Đêm Nay Live
Lâm Vũ,Nhạc Trẻ,51971,Dấu Chấm Hết
"Lâm Vũ,Tuấn Hưng",Nhạc Trẻ,115090,Điều Anh Không Ngờ
Lâm Vũ,Nhạc Trẻ,75396,Chấp Nhận Sự Thật
"Lâm Vũ,Thúy Khanh",Nhạc Trẻ,65248,Ta Đã Từng Yêu
"Lâm Vũ,Châu Gia Kiệt",Nhạc Trẻ,76321,Sai Lầm Vẫn Là Anh
"Lâm Vũ,Giang Hồng Ngọc",Nhạc Trẻ,78068,Hiu Hắt Đời Nhau
"Lâm Vũ,Hồ Việt Trung",Nhạc Trẻ,160007,Quan Tâm Người Yêu Cũ
"Lâm Vũ,Uyên Trang",Nhạc Trẻ,93626,Nỗi Nhớ Đêm Dài
"Lâm Vũ,Khắc Việt",Nhạc Trẻ,173291,Câu Hỏi
"Lâm Vũ,Vĩnh Thuyên Kim",Nhạc Trẻ,133693,Lời An Ủi
"Lâm Vũ,Nhật Kim Anh",Nhạc Trẻ,76143,Mãi Một Mối Tình Đầu
Lâm Vũ,Nhạc Trẻ,131332,Về Bên Anh Em Ơi
V.A,Nhạc Trẻ,319,Niềm Tin Chiến Thắng
V.A,Nhạc Trẻ,105126,Vợ Người Ta Phiên Bản Quảng Nam 2015
V.A,Nhạc Trẻ,694,Câu Chuyện Tình Tôi
V.A,Nhạc Trẻ,524,Âm Thầm Bên Em Cover
Quốc Thiên,Nhạc Trẻ,38314,My Little Sunshine
Sỹ Luân,Nhạc Trẻ,37057,Người Thay Thế Anh
Lê Hiếu,Nhạc Trẻ,41793,Ngỡ Như Chiêm Bao
V.A,Nhạc Trẻ,399,Xe Đạp Ơi
Hoàng Hải,Nhạc Trẻ,51361,Nơi Ta Thuộc Về Nhau
Hồ Trung Dũng,Nhạc Trẻ,49184,Mùa Thu Nhớ Em
V.A,Cách Mạng,1704,Quận 10 Vững Một Niềm Tin Beat
V.A,Cách Mạng,4459,Tự Hào Thanh Niên Thành Phố Anh Hùng Beat
V.A,Cách Mạng,3014,Quận 10 Vững Một Niềm Tin
V.A,Cách Mạng,1486,Thanh Niên Quận 10 Vì Ngày Mai Beat
V.A,Cách Mạng,1138,Hành Khúc Thanh Niên Quận 10 Beat
V.A,Cách Mạng,1674,Tự Hào Thanh Niên Thành Phố Anh Hùng
Phương Vy,Nhạc Trẻ,30959,Màu Nắng Chưa Phai
"Tô Trung Kiệt,Thu Hương,V.A",Cách Mạng,15724,Nhà Hát Tôi Yêu
"Dimitri Vegas,Like Mike,Martin Garrix",Dance,533457,Tremor
V.A,Cách Mạng,1334,Thanh Niên Quận 10 Vì Ngày Mai
V.A,Cách Mạng,1308,Hành Khúc Thanh Niên Quận 10 
Adele,Pop,314373,When We Were Young
Nick Jonas,Pop,204229,Levels
JoJo,Pop,89015,When Love Hurts 
"Selena Gomez,A$AP Rocky",Pop,2065708,Good For You
