singers,genres,total_play,title
Sơn Tùng (M-TP),Nhạc Trẻ,643622,Remember Me
Minh Vương M4U,Nhạc Trẻ,548038,Nỗi Đau Nhẹ Nhàng
Cao Thái Sơn,Nhạc Trẻ,2748371, Như Hai Người Dưng
"Minh Vương M4U,Lưu Ngọc Duyên",Nhạc Trẻ,79022,Different
Hồ Quang Hiếu,Nhạc Trẻ,2455615,Hết Rồi
Beyonce,Pop,72676,Partition
Beyonce,Pop,71150,Halo
Beyonce,Âu Mỹ khác,110358,Run The World 
One Direction,Pop,230246,Infinity
The Weeknd,R&B/Hip Hop/Rap,439793,The Hills
"Hồ Quang Hiếu,Minh Vương M4U",Nhạc Trẻ,6357491,Ký Ức Còn Đâu 
Troye Sivan,Pop,198712,Wild
Gavin James,Âu Mỹ khác,653,Bitter Pill
Parson James,Pop,13384,Temple
Connell Cruise,Pop,790,Into The Wild
Skylar Stecker,Pop,702,Crazy Beautiful
Lyna Thùy Linh,Không Lời,2741,Chỉ Một Người Hiểu Beat
"Trịnh Thăng Bình,Phạm Hoàng Duy",Nhạc Trẻ,595928,Noel Cô Đơn
"Lương Bích Hữu,DJ Phơ Nguyễn",Nhạc Trẻ,150137,Anh Muốn Chia Tay Phải Không Edm Remix
"Hoàng Tôn,Kay Trần",Nhạc Trẻ,4860101,Chỉ Có Em
Khắc Việt,Nhạc Trẻ,554672,Đừng Cố Yêu
HKT,Nhạc Trẻ,4335948,Bên Anh Em Sẽ Không Có Tương Lai
Khánh Phương,Nhạc Trẻ,1479063,Lời Nói Của Thế Gian
Khởi My,Nhạc Trẻ,1590127,I Don't Want
Vương Anh Tú,Nhạc Trẻ,5444730,Giúp Anh Trả Lời Những Câu Hỏi
"Vĩnh Thuyên Kim,Hồ Quang Hiếu",Nhạc Trẻ,2305647,Biết Trước Sẽ Không Mất Nhau
Ngô Kiến Huy,Nhạc Trẻ,5315990,Là Người Em Đã Yêu
Khánh Tân,Nhạc Trẻ,35060,Nhớ Người Anh Yêu
Yuki Huy Nam,Nhạc Trẻ,107926,Cần Một Lời Giải Thích
Trung Quân Idol,Nhạc Trẻ,8400268,Dấu Mưa
"Karik,OnlyC",Rap Việt,10395274,Anh Không Đòi Quà
Đình Phong,Nhạc Trẻ,2398800,Chỉ Còn Anh Và Mưa
Yuki Huy Nam,Nhạc Trẻ,13702737,Nhìn Em Lần Cuối
Nam Du,Nhạc Trẻ,362678,Lời Hứa Chỉ Là Lời Hứa
Khởi My,Nhạc Trẻ,9753239,Người Yêu Cũ
Lệ Quyên,Nhạc Trẻ,1444689,Thôi Đừng Chiêm Bao
Hồ Quang Hiếu,Nhạc Trẻ,5176542,Không Cảm Xúc
Quang Hà,Nhạc Trẻ,1707775,Ngỡ
"Hoàng Tôn,Yanbi",Nhạc Trẻ,6251220,Em Không Quay Về
"Đoàn Thúy Trang,BigDaddy",Nhạc Trẻ,6053400,Tình Yêu Màu Nắng
Bích Phương,Nhạc Trẻ,2959229,Nếu Hạnh Phúc Không Phải Em
Lâm Chấn Khang,Nhạc Trẻ,2170494,Nonstop Lan Và Điệp
Bích Phương,Nhạc Trẻ,2255593,Nếu Anh Là Em
Bích Phương,Nhạc Trẻ,4407700,Chỉ Là Em Giấu Đi
Bảo Anh,Nhạc Trẻ,9859635,Anh Muốn Em Sống Sao
The Men,Nhạc Trẻ,976848,Chính Là Anh
Bích Phương,Nhạc Trẻ,1394108,Em Không Tin
