singers,genres,total_play,title
One Direction,"Âu Mỹ,Pop",1757172,Live While We're Young
"Fun.,Janelle Monáe","Âu Mỹ,Pop",5438443,We Are Young
"Zara Larsson,MNEK","Âu Mỹ,Electronic / Dance",2971,Never Forget You
Crazy Frog,"Âu Mỹ,Electronic / Dance",12041,Last Christmas (Club Mix)
Crazy Frog,"Âu Mỹ,Electronic / Dance",727,Nellie The Elephant
MAGIC!,"Âu Mỹ,Pop,Rock",789088,Rude
"Skylar Grey,X Ambassadors","Âu Mỹ,Pop",587,Cannonball
"Rishi Rich,Jay Sean","Âu Mỹ,Pop",148,Freak
Lady Gaga,,147309,The Edge Of Glory
Paloma Faith,"Âu Mỹ,Pop",64,World In Union
Kacey Musgraves,"Âu Mỹ,Pop",3104,Follow Your Arrow
Dappy,"Âu Mỹ,Pop,Rap / Hip Hop",43,100 (Built For This)
"SoMo,Trey Songz","Âu Mỹ,R&B / Soul",149,Hide & Freak
Foxes,"Âu Mỹ,Pop",522,Better Love
"Wiz Khalifa,Rae Sremmurd","Âu Mỹ,Rap / Hip Hop",262,Burn Slow
R. Kelly,"Âu Mỹ,R&B / Soul",64,Backyard Party
"LK,Phương Anh","Việt Nam,Rap Việt",401002,Lệ Vui
Jorn Van Deynhoven,"Âu Mỹ,Trance / House / Techno",196,101010 (The Perfect Ten)
LK,"Việt Nam,Rap Việt",258156,Hẹn Em Vào Một Ngày Khác
"LK,Phương Anh","Việt Nam,Rap Việt",137881,Ta Luôn Nghĩ Về Nhau
Leona Lewis,"Âu Mỹ,Pop",260,Thick Skin
Ryan Adams,"Âu Mỹ,Rock",544,Blank Space
Sara Bareilles,"Âu Mỹ,Pop",1140,She Used To Be Mine
Quang Dũng,"Nhạc Trữ Tình,Việt Nam",8327,Anh Xin Làm
Quang Dũng,"Nhạc Trữ Tình,Việt Nam",65654,Chỉ Riêng Mình Anh
Quang Dũng,"Nhạc Trữ Tình,Việt Nam",17175,Gót Phiêu Du
