singers,genres,total_play,title
Coldplay,"Âu Mỹ,Alternative",694,Adventure Of A Lifetime
"Fun.,Janelle Monáe","Âu Mỹ,Pop",5437654,We Are Young
One Direction,"Âu Mỹ,Pop",1756852,Live While We're Young
Michael Bublé,"Âu Mỹ,Pop",3494,It's Beginning To Look A Lot Like Christmas
"Zara Larsson,MNEK","Âu Mỹ,Electronic / Dance",2737,Never Forget You
Justin Bieber,"Âu Mỹ,Pop",2795035,Mistletoe
"Justin Bieber,Big Sean","Âu Mỹ,Pop",5374736,As Long As You Love Me
Justin Bieber,"Âu Mỹ,Pop",23101,What Do You Mean? (Acoustic Version)
Kenny Rogers,"Âu Mỹ,Country",160,The Only Way I Know
Hunter Hayes,"Âu Mỹ,Pop",237370,Wanted
Modern Talking,"Pop,Âu Mỹ",824,Send Me A Letter From Heaven
Kenny Rogers,"Âu Mỹ,Country",792,To Me
Kenny Rogers,"Âu Mỹ,Country",246,Write Your Name (Across My Heart)
Kirko Bangz,"Âu Mỹ,Rap / Hip Hop",39508,Drank In My Cup
Trey Songz,"Âu Mỹ,Christian & Gospel",42922,Heart Attack
Kenny Chesney,"Âu Mỹ,Country",4842,Come Over
Luke Bryan,,120285,I Don't Want This Night To End
One Direction,"Pop,Âu Mỹ",531954,Gotta Be You
"Justin Bieber,Halsey","Âu Mỹ,Pop",11432,The Feeling
One Direction,"Pop,Âu Mỹ",378684,More Than This
One Direction,"Âu Mỹ,Pop",1499955,One Thing
"Hardwell,Harrison","Âu Mỹ,Electronic / Dance",19,Sally (Frontliner Remix Edit)
"Justin Bieber,Ariana Grande","Âu Mỹ,Pop",14904,What Do You Mean? (Remix)
"Hardwell,I-Fan","Âu Mỹ,Electronic / Dance",4,Where Is Here Now (Franky Rizardo Remix...
"Hardwell,Amba Shepherd","Âu Mỹ,Electronic / Dance",2,United We Are (Armin van Buuren Remix...
"Hardwell,Bright Lights","Âu Mỹ,Electronic / Dance",18,Let Me Be Your Home (Dave Winnel Remix...
"Hardwell,Fatman Scoop","Âu Mỹ,Electronic / Dance",56,Don’t Stop The Madness (Dirtcaps Remix...
"Hardwell,Chris Jones","Âu Mỹ,Electronic / Dance",44,Young Again (KURA Remix Edit)
"Hardwell,Jonathan Mendelsohn","Âu Mỹ,Electronic / Dance",48,Echo (Kaaze Remix Edit)
"Hardwell,Luciana","Âu Mỹ,Electronic / Dance",17,Arcadia (Sean & Bobo Remix Edit)
Hardwell,"Âu Mỹ,Electronic / Dance",30,Area51 (DallasK Rework Edit)
"Hardwell,Mr. Probz","Âu Mỹ,Electronic / Dance",66,Birds Fly (W&W Festival Mix Edit)
"Kygo,Maty Noyes","Âu Mỹ,Electronic / Dance",220,Stay
"Yellow Claw,Lil Eddie","Âu Mỹ,Electronic / Dance",0,Higher
"Hardwell,Haris","Âu Mỹ,Electronic / Dance",45,Nothing Can Hold Us Down (Pep & Rash Remix...
"Yellow Claw,Becky G","Âu Mỹ,Electronic / Dance",2,For The Thrill
"Justin Bieber,Ludacris","Âu Mỹ,Pop",590436,All Around The World
"Hardwell,Mr. Probz","Âu Mỹ,Electronic / Dance",265,Birds Fly (eSQUIRE Late Night Remix Edit)
Yellow Claw,"Âu Mỹ,Electronic / Dance",4,Roller
"Yellow Claw,Kyler England","Âu Mỹ,Electronic / Dance",4,Lifetime
One Direction,"Âu Mỹ,Pop",1046820,What Makes You Beautiful
"Yellow Claw,Pusha T","Âu Mỹ,Electronic / Dance",4,Nightmare
Justin Bieber,"Âu Mỹ,Pop",2855222,Baby (Acoustic)
"Yellow Claw,Naaz","Âu Mỹ,Electronic / Dance",1,Feel It
"Yellow Claw,Lil Eddie","Âu Mỹ,Electronic / Dance",0,We Made It
"Yellow Claw,Maty Noyes","Âu Mỹ,Electronic / Dance",1,Drowning In Champagne
"Yellow Claw,Beenie Man","Âu Mỹ,Electronic / Dance",7,Bun It Up
Yellow Claw,"Âu Mỹ,Electronic / Dance",4,Sin City
"Yellow Claw,Serebro","Âu Mỹ,Electronic / Dance",3,Blood Diamond
"Yellow Claw,Becky G","Âu Mỹ,Electronic / Dance",10,Wild Mustang
"Yellow Claw,Kalibwoy","Âu Mỹ,Electronic / Dance",5,Ride Or Die
Caribou,"Âu Mỹ,Electronic / Dance",0,Can’t Do Without You
Billy Gilman,"Âu Mỹ,Pop",0,Falling
Yellow Claw,"Âu Mỹ,Electronic / Dance",6,"Kaolo, Pt. 3"
Kylie Minogue,"Âu Mỹ,Pop",29,Every Day’s Like Christmas (A Stock Aitken...
"Nick Carter,Avril Lavigne","Âu Mỹ,Pop",63,Get Over Me
Nick Carter,"Âu Mỹ,Pop",16,19 In 99
Nick Carter,"Âu Mỹ,Pop",1,All American
Nick Carter,"Âu Mỹ,Pop",1,Second Wind
Nick Carter,"Âu Mỹ,Pop",1,Sweet
Caribou,"Âu Mỹ,Electronic / Dance",0,Our Love
Nick Carter,"Âu Mỹ,Pop",0,Tijuana
Caribou,"Âu Mỹ,Electronic / Dance",1,Dive
Caribou,"Âu Mỹ,Electronic / Dance",0,Second Chance
Caribou,"Âu Mỹ,Electronic / Dance",0,Silver
Caribou,"Âu Mỹ,Electronic / Dance",1,Your Love Will Set You Free
Caribou,"Âu Mỹ,Electronic / Dance",1,Mars
Caribou,"Âu Mỹ,Electronic / Dance",0,Second Chance (Cyril Hahn Edit)
Caribou,"Âu Mỹ,Electronic / Dance",0,Your Love Will Set You Free (C2's Set U Free RMX)
Caribou,"Âu Mỹ,Electronic / Dance",7,Can't Do Without You (Extended Mix)
Nick Carter,"Âu Mỹ,Pop",8,Man On The Moon
Caribou,"Âu Mỹ,Electronic / Dance",0,Julia Brightly
Nick Carter,"Âu Mỹ,Pop",4,Horoscope
Caribou,"Âu Mỹ,Electronic / Dance",0,Back Home
Conrad Sewell,"Âu Mỹ,Pop",27,Who You Lovin
Conrad Sewell,"Âu Mỹ,Pop",2,Firestone (Acoustic)
Conrad Sewell,"Âu Mỹ,Pop",3,21 Questions
Conrad Sewell,"Âu Mỹ,Pop",3,Shadow
Lexi Walker,"Âu Mỹ,Pop",1,When A Child Is Born
Lexi Walker,"Âu Mỹ,Pop",2,It’s The Most Wonderful Time Of The Year
Lexi Walker,"Âu Mỹ,Pop",1,Christmastime Is Here
DJ Bjn,"Âu Mỹ,Pop",1,Believe
Conrad Sewell,"Âu Mỹ,Pop",5,Remind Me
Lexi Walker,"Âu Mỹ,Pop",0,O Holy Night
Lexi Walker,"Âu Mỹ,Pop",0,Pat A Pan
Caribou,"Âu Mỹ,Electronic / Dance",2,Mars (Head High's Venus Remix)
Caribou,"Âu Mỹ,Electronic / Dance",7,Can't Do Without You (Tale of Us & Mano Le...
Avicii,"Âu Mỹ,Electronic / Dance",3,Broken Arrows (Aston Shuffle Remix)
Avicii,"Âu Mỹ,Electronic / Dance",9,Broken Arrows (Kid Remix)
Avicii,"Âu Mỹ,Electronic / Dance",19,Broken Arrows (Didrick Remix)
"Dash Berlin,Clément Bcx","Âu Mỹ,Electronic / Dance",2,I Take Care (Radio Edit)
Avicii,"Âu Mỹ,Electronic / Dance",1,Broken Arrows (M-22 Remix)
"Dash Berlin,Clément Bcx","Âu Mỹ,Electronic / Dance",6,I Take Care (Club Mix)
Lexi Walker,"Âu Mỹ,Pop",0,We Need A Little Christmas
Lexi Walker,"Âu Mỹ,Pop",6,Let It Go
Nick Carter,"Âu Mỹ,Pop",1,California
Il Volo,"Âu Mỹ,Pop",1,Grande Amore
Sabrina Carpenter,"Âu Mỹ,Pop",7,Christmas The Whole Year Round
Il Volo,"Âu Mỹ,Pop",0,Quando L’Amore Diventa Poesia
Il Volo,"Âu Mỹ,Pop",0,La Vita
Il Volo,"Âu Mỹ,Pop",0,"Nel Blu, Dipinto Di Blu (Volare)"
Nick Carter,"Âu Mỹ,Pop",0,Cherry Pie
