singers,genres,total_play,title
MBLAQ,"Hàn Quốc,Pop / Ballad",15682,Our Relationship
Aliee,"Hàn Quốc,Pop / Ballad,Nhạc Phim",2325,Day By Day
Akdong Musician,"Hàn Quốc,Pop / Ballad",60993,Melted
GOT7,"Hàn Quốc,Electronic / Dance",35880,Girls Girls Girls
Taeyeon,"Hàn Quốc,Pop / Ballad,Nhạc Phim",50211,"Love, The Only Word"
Ali,"Hàn Quốc,Pop / Ballad,Nhạc Phim",24803,The Vow
Akdong Musician,"Hàn Quốc,Pop / Ballad",285435,200%
T (Yoon Mi Rae),"Hàn Quốc,Pop / Ballad,Nhạc Phim",3223,I Love You
Lasse Lindh,"Hàn Quốc,Pop / Ballad,Nhạc Phim",124738,Run To You
Park Hyo Shin,"Hàn Quốc,Pop / Ballad",56526,Wild Flower
Girls' Generation-TTS,"Hàn Quốc,Electronic / Dance",82813,Holler
Epik High,"Hàn Quốc,Rap / Hip Hop",148287,Happen Ending
TEEN TOP,"Âu Mỹ,Pop",20261,I’m Sorry
"Hi Suhyun,Bobby","Hàn Quốc,R&B",166717,I’m Different
BEAST,"Hàn Quốc,Pop / Ballad",47927,No More
SISTAR,"Hàn Quốc,Electronic / Dance",144490,Touch My Body
"IU,Kim Chang Wan","Hàn Quốc,Pop / Ballad",29473,Meaning Of You
Winner,"Hàn Quốc,Electronic / Dance",45260,Color Ring
SISTAR,"Hàn Quốc,Electronic / Dance",110565,I Swear
EXO-K,"Hàn Quốc,Electronic / Dance",349412,Overdose
Davichi,"Hàn Quốc,Pop / Ballad,Nhạc Phim",124186,"It's Alright, This Is Love"
Aliee,"Hàn Quốc,Pop / Ballad,Nhạc Phim",32956,Goodbye My Love
Miley Cyrus,"Âu Mỹ,Pop",23832,Adore You
Lee Brice,"Âu Mỹ,Country",98,I Don't Dance
"Miranda Lambert,Carrie Underwood","Âu Mỹ,Country",2524,Somethin' Bad
"Zedd,Hayley Williams","Âu Mỹ,Pop",316331,Stay The Night
Henry,"Hàn Quốc,Electronic / Dance",144461,Fantastic
Beyoncé,"Âu Mỹ,Pop",12874,Partition
"Schoolboy Q,BJ The Chicago Kid","Âu Mỹ,Rap / Hip Hop",1310,Studio
Drake,"Âu Mỹ,Rap / Hip Hop",2911,0 To 100 / The Catch Up
Macklemore & Ryan Lewis,"Âu Mỹ,Pop",34562,White Walls
"San E,Raina","Hàn Quốc,Pop / Ballad",27468,A Midsummer Night's Sweetness
Jake Owen,"Âu Mỹ,Country",1532,Beachin'
5 Seconds Of Summer,"Âu Mỹ,Pop",73199,She Looks So Perfect
Chen (Exo),"Hàn Quốc,Pop / Ballad,Nhạc Phim",331061,Best Luck
F(x),"Hàn Quốc,Electronic / Dance",98550,Red Light
Fly To The Sky,"Hàn Quốc,Pop / Ballad",73738,You You You
DBSK,"Nhật Bản,Pop / Dance",1449,Something
Hyorin,"Hàn Quốc,Pop / Ballad,Nhạc Phim",388245,Hello
B.A.P,"Hàn Quốc,Electronic / Dance",55530,1004 (Angel)
"San E,Kang Min Hee","Hàn Quốc,Pop / Ballad,Nhạc Phim",10291,What's Wrong With Me?
Phan Mạnh Quỳnh,"Việt Nam,Nhạc Trẻ",2119874,Ai Cũng Có Ngày Xưa
Phan Mạnh Quỳnh,"Việt Nam,Nhạc Trẻ",2174486,Thật May Cho Anh
"Jonghyun (SHINee),Taeyeon","Hàn Quốc,Pop / Ballad",21151,Breath
IU,"Hàn Quốc,Pop / Ballad",88253,My Old Story
Girl's Day,"Hàn Quốc,Pop / Ballad",474780,Something
Phan Mạnh Quỳnh,"Việt Nam,Nhạc Trẻ",3187226,Nơi Ấy Con Tìm Về
Thu Phương,"Việt Nam,Nhạc Trữ Tình",1816486,Đêm Nằm Mơ Phố
Phan Mạnh Quỳnh,"Việt Nam,Nhạc Trẻ",439518,Giấc Mơ Mang Em Đi
Tấn Minh,"Việt Nam,Nhạc Trẻ",5165250,Bức Thư Tình Đầu Tiên
Hồ Quỳnh Hương,"Việt Nam,Nhạc Trẻ",8409338,Có Nhau Trọn Đời
"Tim McGraw,Gracie McGraw","Âu Mỹ,Country",8,Here Tonight
Hồ Quỳnh Hương,"Việt Nam,Nhạc Trẻ",6329697,Bức Thư Tình Thứ Hai
"Charles Kelley,Dierks Bentley","Âu Mỹ,Country",8,The Driver
Phan Mạnh Quỳnh,"Việt Nam,Nhạc Trẻ",1936227,Xa Kỷ Niệm
Hồ Quỳnh Hương,"Nhạc Trẻ,Việt Nam",3389084,Với Anh Em Vẫn Là Cô Bé
Tim McGraw,"Âu Mỹ,Country",0,Losin' You
"Juicy J,Miley Cyrus","Âu Mỹ,Rap / Hip Hop",4893,23
"Lil Wayne,Drake","Âu Mỹ,Rap / Hip Hop",9725,Believe Me
Kongos,"Âu Mỹ,Rock",5130,Come With Me Now
"Shakira,Rihanna","Âu Mỹ,Pop",394420,Can't Remember To Forget You
"Naughty Boy,Sam Smith","Âu Mỹ,Pop",1153629,La La La
"Robin Thicke,T.I.","Âu Mỹ,R&B / Soul",718497,Blurred Lines
"Lady Gaga,R. Kelly","Âu Mỹ,Pop",83395,Do What U Want
5 Seconds Of Summer,"Âu Mỹ,Pop,Rock",21002,Amnesia
Dierks Bentley,"Âu Mỹ,Country",2574,Drunk On A Plane
Lady Antebellum,"Âu Mỹ,Country",21950,Bartender
"T.I,Iggy Azalea","Âu Mỹ,Pop,Rap / Hip Hop",7652,No Mediocre
"Michael Jackson,Justin Timberlake","Âu Mỹ,Pop",67528,Love Never Felt So Good
Katy Perry,"Âu Mỹ,Pop",111164,Birthday
Take That,"Pop,Âu Mỹ",562955,How Deep Is Your Love
Keane,"Âu Mỹ,Pop",12198,Everybody's Changing
Mariah Carey,"R&B / Soul,Âu Mỹ",1891447,Without You
Fetty Wap,"Âu Mỹ,Rap / Hip Hop",340431,Trap Queen
Celine Dion,"Âu Mỹ,Pop",1891618,My Heart Will Go On
"Calvin Harris,Ellie Goulding","Âu Mỹ,Electronic / Dance",433708,Outside
The Weeknd,"Âu Mỹ,Pop",294634,Earned It (Fifty Shades Of Grey)
"G-Dragon,Tae Yang","Hàn Quốc,Rap / Hip Hop",1053831,Good Boy
Sung Shi Kyung,"Hàn Quốc,Pop / Ballad,Nhạc Phim",31671,Everything About You/Every Moment Of You
"DJ Snake,AlunaGeorge","Âu Mỹ,Electronic / Dance",123147,You Know You Like It
Ailee,"Hàn Quốc,Pop / Ballad",201007,Don't Touch Me
Avril Lavigne,"Âu Mỹ,Pop,Rock",239077,Give You What You Like
2NE1,"Hàn Quốc,Rap / Hip Hop,Pop / Ballad,R&B",976218,Come Back Home
"MC Mong,Sweden Laundry","Hàn Quốc,Rap / Hip Hop",314772,Sick To Death Part.2
Epik High,"Hàn Quốc,Rap / Hip Hop",42231,Spoiler
Apink,"Hàn Quốc,Pop / Ballad",490585,Mr. Chu
Kyu Hyun,"Hàn Quốc,Pop / Ballad",203085,At Gwanghwamun
AOA,"Hàn Quốc,Electronic / Dance",83818,Short Hair
SNSD,"Hàn Quốc,Pop / Ballad",492991,Mr.Mr.
15&,"Hàn Quốc,R&B",44996,Can't Hide It
"Phan Mạnh Quỳnh,Lê Bảo Bình","Việt Nam,Nhạc Trẻ",3978067,Không Quan Trọng
Phan Mạnh Quỳnh,"Việt Nam,Nhạc Trẻ",1119421,Nắng Mùa Hạ
CNBlue,"Hàn Quốc,Rock",152648,Can't Stop
Trần Thu Hà,"Việt Nam,Nhạc Trữ Tình",5578335,Em Về Tinh Khôi
"Hà Anh Tuấn,Phương Linh","Việt Nam,Nhạc Trẻ",3405975,Cơn Mưa Tình Yêu
Uyên Linh,"Việt Nam,Nhạc Trẻ",10938713,Người Hát Tình Ca
"Hà Anh Tuấn,Phương Linh","Việt Nam,Nhạc Trẻ",7599769,Qua Đêm Nay
Phương Linh,"Việt Nam,Nhạc Trẻ",5394886,Cơn Gió Lạ
Tim McGraw,"Âu Mỹ,Country",4,Love Runs
Phan Mạnh Quỳnh,"Việt Nam,Nhạc Trẻ",682376,Xem Nhau Là Dĩ Vãng
Tim McGraw,"Âu Mỹ,Country",10,What You’re Lookin' For
Tim McGraw,"Âu Mỹ,Country",1,How I’ll Always Be
Tim McGraw,"Âu Mỹ,Country",3,Don’t Make Me Feel At Home
Tim McGraw,"Âu Mỹ,Country",3,Want You Back
Phan Mạnh Quỳnh,"Việt Nam,Nhạc Trẻ",1759038,Mất Hy Vọng
Tim McGraw,"Âu Mỹ,Country",1,Damn Country Music
Tim McGraw,"Âu Mỹ,Country",5,Everybody’s Lookin’
Old Dominion,"Âu Mỹ,Country",0,Snapback
Old Dominion,"Âu Mỹ,Country",3,Half Empty
Tim McGraw,"Âu Mỹ,Country",7,Kiss A Girl
Tim McGraw,"Âu Mỹ,Country",2,Country And Western
Sara Bareilles,"Âu Mỹ,Pop",1201,Brave
The Neighbourhood,"Âu Mỹ,Rock",25192,Sweater Weather
Kenny Chesney,"Âu Mỹ,Country",2484,American Kids
Martin Garrix,"Âu Mỹ,Rap / Hip Hop",99219,Animals
